sloupec,vyplnenost,delka_pred,delka_po,lze_explodovat,pomer,trojcisli
003,1.0,1238228,1238228,True,1.0,003
005,1.0,1233079,1233080,False,0.9999991890226101,005
006,1.0,10673,10703,False,0.9971970475567598,006
007,1.0,907015,907383,False,0.9995944380708036,007
008,1.0,1238228,1238228,True,1.0,008
010_a,1.0,8,8,True,1.0,010
015_a,1.0,1238228,1238228,True,1.0,015
015_z,0.03275648749664844,1238228,1270266,False,0.9747785109575475,015
020_q,0.9831582817003031,729023,846666,False,0.8610514653948547,020
020_c,0.2446205400926994,729023,735127,False,0.9916966728197985,020
020_a,0.6551754882904929,729023,755021,False,0.9655665206663125,020
020_z,0.03383020837477007,729023,733440,False,0.9939776941535776,020
022_a,0.9590623114711713,11603,11608,False,0.9995692625775328,022
022_y,0.11341894337671292,11603,11702,False,0.9915399077080841,022
022_z,0.007411876238903731,11603,11610,False,0.9993970714900947,022
022_ind1,0.0031888304748771868,11603,11603,True,1.0,022
022_l,0.00034473842971645267,11603,11603,True,1.0,022
024_ind1,0.9998033238273183,20338,20866,False,0.9746956771781846,024
024_q,0.43494935588553446,20338,22274,False,0.9130825177336805,024
024_a,0.7992427967351755,20338,20865,False,0.9747423915648215,024
024_z,0.018635067361589142,20338,20385,False,0.9976943831248467,024
024_ind2,0.0011308879929196579,20338,20338,True,1.0,024
024_c,0.007572032648244665,20338,20346,False,0.9996068023198663,024
024_2,0.00039335234536335925,20338,20367,False,0.9985761280502774,024
028_ind1,0.9999827001591586,57804,68254,False,0.8468954200486418,028
028_ind2,0.999965400318317,57804,68254,False,0.8468954200486418,028
028_a,0.9999827001591586,57804,68260,False,0.8468209786111925,028
028_b,0.8262922981108574,57804,67805,False,0.852503502691542,028
028_q,0.0181994325652204,57804,59838,False,0.9660082221999399,028
028_f,1.7299840841464257e-05,57804,57804,True,1.0,028
030_a,1.0,1,1,True,1.0,030
034_ind1,1.0,18072,18775,False,0.9625565912117177,034
034_a,0.9999446657813191,18072,18775,False,0.9625565912117177,034
034_b,0.8127490039840638,18072,19188,False,0.9418386491557224,034
034_d,0.31169765382912795,18072,18355,False,0.984581857804413,034
034_e,0.3118083222664896,18072,18356,False,0.9845282196556984,034
034_f,0.3118083222664896,18072,18356,False,0.9845282196556984,034
034_g,0.31175298804780877,18072,18356,False,0.9845282196556984,034
034_c,0.00011066843736166445,18072,18073,False,0.9999446688430255,034
035_a,1.0,873538,898110,False,0.9726403224549331,035
040_a,0.9999975771828775,1238228,1238229,False,0.9999991923949447,040
040_b,0.9999959619714625,1238228,1238229,False,0.9999991923949447,040
040_d,0.5326934942514626,1238228,1280747,False,0.9668014057421177,040
040_c,0.31235523667692866,1238228,1238228,True,1.0,040
040_e,0.2166111572343704,1238228,1238229,False,0.9999991923949447,040
040_9,0.00010983437622150364,1238228,1238228,True,1.0,040
041_ind1,0.9999079499668619,380228,380228,True,1.0,041
041_a,0.9599135255688692,380228,508753,False,0.7473724970663563,041
041_h,0.6741139526810229,380228,387854,False,0.9803379622228983,041
041_b,0.11405262105894358,380228,402528,False,0.9446001271961205,041
041_k,0.002861441030118771,380228,380276,False,0.9998737758890911,041
041_g,0.030523790988564756,380228,394277,False,0.9643676907351938,041
041_f,0.00010520003787201364,380228,380235,False,0.9999815903322945,041
041_d,0.02175010783003882,380228,385276,False,0.986897704502746,041
041_e,0.005857012108524359,380228,381593,False,0.9964228903570034,041
041_j,1.0520003787201363e-05,380228,380234,False,0.9999842202433239,041
041_n,2.893001041480375e-05,380228,380228,True,1.0,041
041_ind2,5.2600018936006815e-06,380228,380228,True,1.0,041
041_c,2.6300009468003407e-06,380228,380228,True,1.0,041
041_m,2.6300009468003407e-06,380228,380228,True,1.0,041
043_a,1.0,331955,374278,False,0.8869209518058769,043
043_b,0.40778720007229896,331955,336348,False,0.9869391225754278,043
043_2,0.40778418761579127,331955,331955,True,1.0,043
044_a,1.0,8119,18720,False,0.43370726495726497,044
045_a,1.0,239066,244878,False,0.976265732323851,045
047_a,1.0,5213,13057,False,0.39924944474228385,047
048_a,0.9640415865089436,48862,69185,False,0.7062513550625136,048
048_b,0.25946543326102084,48862,54488,False,0.896747907796212,048
048_ind2,4.0931603290900904e-05,48862,48862,True,1.0,048
072_ind2,1.0,770672,929015,False,0.8295581879732835,072
072_a,1.0,770672,929015,False,0.8295581879732835,072
072_x,1.0,770672,929015,False,0.8295581879732835,072
072_2,1.0,770672,929015,False,0.8295581879732835,072
072_9,1.0,770672,929015,False,0.8295581879732835,072
080_a,1.0,1017378,3334647,False,0.3050931627845466,080
080_2,1.0,1017378,3334647,False,0.3050931627845466,080
080_x,4.914594182299991e-06,1017378,1017378,True,1.0,080
080_9,9.82918836459998e-07,1017378,1017380,False,0.9999980341661916,080
080_ind1,9.82918836459998e-07,1017378,1017381,False,0.9999970512521857,080
086_a,1.0,3,3,True,1.0,086
086_2,0.3333333333333333,3,3,True,1.0,086
100_ind1,1.0,897263,897263,True,1.0,100
100_a,0.9999988854995693,897263,897263,True,1.0,100
100_7,0.9235987664709232,897263,897263,True,1.0,100
100_4,0.9997626114082493,897263,943149,False,0.9513480902805389,100
100_d,0.7606409714877355,897263,897263,True,1.0,100
100_q,0.005331770060729129,897263,897263,True,1.0,100
100_c,0.004246246641174327,897263,897270,False,0.9999921985578477,100
100_b,0.00039564765291781785,897263,897263,True,1.0,100
100_e,1.1145004307544164e-06,897263,897263,True,1.0,100
110_ind1,1.0,28640,28640,True,1.0,110
110_a,1.0,28640,28640,True,1.0,110
110_b,0.12136871508379889,28640,29096,False,0.9843277426450371,110
110_d,0.03467178770949721,28640,28640,True,1.0,110
110_c,0.031110335195530726,28640,28643,False,0.9998952623677687,110
110_4,0.40628491620111734,28640,30660,False,0.9341161121983039,110
110_7,0.9244064245810056,28640,28640,True,1.0,110
110_n,0.01826117318435754,28640,28640,True,1.0,110
111_ind1,1.0,26995,26995,True,1.0,111
111_a,1.0,26995,26995,True,1.0,111
111_d,0.8574921281718837,26995,26995,True,1.0,111
111_c,0.8644563808112613,26995,27296,False,0.9889727432590856,111
111_7,0.7741063159844416,26995,26995,True,1.0,111
111_n,0.28390442674569366,26995,26995,True,1.0,111
111_4,0.17017966290053713,26995,26997,False,0.9999259176945586,111
111_e,0.0021485460270420447,26995,26996,False,0.9999629574751815,111
130_ind1,1.0,4587,4587,True,1.0,130
130_a,1.0,4587,4587,True,1.0,130
130_p,0.09112709832134293,4587,4616,False,0.9937175043327556,130
130_l,0.8593852190974494,4587,4587,True,1.0,130
130_7,0.23217789404839764,4587,4587,True,1.0,130
130_s,0.02158273381294964,4587,4587,True,1.0,130
130_d,0.005232177894048398,4587,4589,False,0.9995641752015689,130
130_k,0.005886200130804447,4587,4587,True,1.0,130
130_n,0.0010900370612600828,4587,4587,True,1.0,130
130_o,0.0017440592980161324,4587,4587,True,1.0,130
