rok,preklad,072_x,245_a,245_c,245_p,246_a,500_a,520_a,520_b,521_a,648_a,650_a,650_x,650_z,650_y,651_a,653_a,655_a,964_a,keywords,téma
1949,původní česká, ,Napucánek /,Josef Spilka ; Il. ... Zdeněk Müller, , ,10750 výt. Barevné ilustrace,"""Tak vám byl jednou jeden chlapeček, kterému náramně chutnalo. Snědl kde co bylo a tlustý byl jako kulička. Nikdo mu neřekl jinak než Napucánek."" A tento junák bez bázně a hany je hrdinou knížky, která přinášířadupovídek,pohádek,bajek a lid. vyprávění horalů ze Zakarpatské Ukrajiny, jak je autor sebral přímo na místě.", , , , , , , , , , ,Zakarpatská Ukrajina - vyprávění lidová - knihy pro mládež,"  Napucánek / Josef Spilka ; Il. ... Zdeněk Müller     10750 výt. Barevné ilustrace ""Tak vám byl jednou jeden chlapeček, kterému náramně chutnalo. Snědl kde co bylo a tlustý byl jako kulička. Nikdo mu neřekl jinak než Napucánek."" A tento junák bez bázně a hany je hrdinou knížky, která přinášířadupovídek,pohádek,bajek a lid. vyprávění horalů ze Zakarpatské Ukrajiny, jak je autor sebral přímo na místě.                     Zakarpatská Ukrajina - vyprávění lidová - knihy pro mládež","skaut, junák"
1949,původní česká, ,Táborový deník šestnáctiletého skauta Jiřího Wolkra /,Se slovesným přehlédnutím textu Kamila Bednáře, , ,7000 výt., , , , , , , , , , , ,"Wolker, Jiří (1900-1924 čes. básník) - skauting Skauti - tábor. deníky","  Táborový deník šestnáctiletého skauta Jiřího Wolkra / Se slovesným přehlédnutím textu Kamila Bednáře     7000 výt.                       Wolker, Jiří (1900-1924 čes. básník) - skauting Skauti - tábor. deníky","skaut, junák"
1949,původní česká, ,Vodáci z Olivové zátoky :,Adolf Veselý, , ,5500 výtisků, , , , , , , , , , , ,Moře Jaderské - knihy pro mládež Vodáci - knihy pro mládež Skauti vodní - knihy pro mládež,  Vodáci z Olivové zátoky : Adolf Veselý     5500 výtisků                       Moře Jaderské - knihy pro mládež Vodáci - knihy pro mládež Skauti vodní - knihy pro mládež,"skaut, junák"
1949,původní česká, ,Zápisník časopisu Vpřed [na rok] 1950 /,Sest. red. kruh čas. Vpřed, , ,Notace Barevné ilustrace, , , , , , , , , , , ,Junáci - kalendáře Kalendáře,  Zápisník časopisu Vpřed [na rok] 1950 / Sest. red. kruh čas. Vpřed     Notace Barevné ilustrace                       Junáci - kalendáře Kalendáře,"skaut, junák"
1950,původní česká, ,Pojďte s pionýry :,zpracoval redakční kruh za vedení Karla Hanuše, , ,15000 výt., , , , , , , , , , , ,Junáci - pionýři Pionýři POJ (Pionýrské oddíly Junáka),  Pojďte s pionýry : zpracoval redakční kruh za vedení Karla Hanuše     15000 výt.                       Junáci - pionýři Pionýři POJ (Pionýrské oddíly Junáka),"skaut, junák"
1950,překladová, ,Stará pevnost /,Vladimír Beljajev ; z rus. orig. ... přel. [a] dosl. [naps.] Zora Beráková, , ,7700 výt.,"""Stará pevnost"", první díl trilogie ""Podolané"", je obraz z revolučních bojů Západní Ukrajiny s petljurovci a německými interventy, napsaný podle autorových vzpomínek na dětství prožité v městě Kamenci-Podolsku, a vylíčený tak, aby vystihl mladou mentalitu hlavních hrdinů. Jsou jimi tři chlapci, synové řemeslníků a dělníků ze Zářečí. Po obsazení města petljurovci vypukají brzy šarvátky mezi dětmi ze Zářečí a synky městské inteligence, přisluhující kontrarevoluci a posílající své děti do skautských oddílů. Stará pevnost, která střeží město od dob bojů Záporožců s Turky a jejíž romantika neustále chlapce přitahuje, stane se vězením a místem poprav zatčených bolševiků. Chlapci nemohou sami ilegálně pracovat, rozhodnou se tedy přeběhnout alespoň do vesnice, obsazené rudými, kde se skrývá otec jednoho z nich, a když je město konečně osvobozeno, pomohou usvědčit kolaborujícího městského lékaře. Z gymnasia, které bylo hnízdem ukrajinského nacionálního šovinismu, se stává pracovní škola Tarase Ševčenka, na níž na žádost žákovského výboru posílá komsomol prvního učitele politické výchovy.", , , , , , , , , , ,Ukrajina - boje s petljurovci r. 1919 - romány,"  Stará pevnost / Vladimír Beljajev ; z rus. orig. ... přel. [a] dosl. [naps.] Zora Beráková     7700 výt. ""Stará pevnost"", první díl trilogie ""Podolané"", je obraz z revolučních bojů Západní Ukrajiny s petljurovci a německými interventy, napsaný podle autorových vzpomínek na dětství prožité v městě Kamenci-Podolsku, a vylíčený tak, aby vystihl mladou mentalitu hlavních hrdinů. Jsou jimi tři chlapci, synové řemeslníků a dělníků ze Zářečí. Po obsazení města petljurovci vypukají brzy šarvátky mezi dětmi ze Zářečí a synky městské inteligence, přisluhující kontrarevoluci a posílající své děti do skautských oddílů. Stará pevnost, která střeží město od dob bojů Záporožců s Turky a jejíž romantika neustále chlapce přitahuje, stane se vězením a místem poprav zatčených bolševiků. Chlapci nemohou sami ilegálně pracovat, rozhodnou se tedy přeběhnout alespoň do vesnice, obsazené rudými, kde se skrývá otec jednoho z nich, a když je město konečně osvobozeno, pomohou usvědčit kolaborujícího městského lékaře. Z gymnasia, které bylo hnízdem ukrajinského nacionálního šovinismu, se stává pracovní škola Tarase Ševčenka, na níž na žádost žákovského výboru posílá komsomol prvního učitele politické výchovy.                     Ukrajina - boje s petljurovci r. 1919 - romány","skaut, junák"
1951,překladová, ,Létající koráb a jiné pohádky ruského lidu /,Alexander Nikolajevič Afanasjev ; Vybr. a z pův. rus. vyd. ... Russkije dětskie skazki ... přel. Josef Urban ; [Dosl.] Nejkrásnější pohádka [naps.] Karel, , ,14750 výt. Barevně ilustrované předsádky,"Celkem 16 tu známějších, tu méně známých pohádek ruských, o nichž vypráví v dosl. K. Černý: ""Začnete číst staré pohádky a poznáváte, jak žili a mysleli staří lidé v časech dávno uplynulých i ještě v časech nedávných. Poznáte, čehose báli, v co věřili, o čem snili. Báli se mnoha věcí, protože nevěděli, proč a jak se co děje a co za čím vězí. Byli by rádi přemohli smrt nějakou kouzelnou torbou (jako v pohádce Voják a smrt), snili o dobrém čaroději, který byčlověku dal rychlost jelena nebo zajíce (Rychlý posel), snili o bystrých a statečných junácích, kteří by přemohli kruté pány a síly zla. Věřili, že se jednou najde bystrý junák-člověk, který to vyhraje i nad mistry-čaroději (Učedníknad mistra), že to chudí vyhrají nad bohatými pány, sebemocnějšími a sebekrutějšími (Vasil Chudák a Marko Bohatý). Věřili, že zlo nepřemůže pravdu ...""", , , , , , , , , , ,Pohádky ruské,"  Létající koráb a jiné pohádky ruského lidu / Alexander Nikolajevič Afanasjev ; Vybr. a z pův. rus. vyd. ... Russkije dětskie skazki ... přel. Josef Urban ; [Dosl.] Nejkrásnější pohádka [naps.] Karel     14750 výt. Barevně ilustrované předsádky Celkem 16 tu známějších, tu méně známých pohádek ruských, o nichž vypráví v dosl. K. Černý: ""Začnete číst staré pohádky a poznáváte, jak žili a mysleli staří lidé v časech dávno uplynulých i ještě v časech nedávných. Poznáte, čehose báli, v co věřili, o čem snili. Báli se mnoha věcí, protože nevěděli, proč a jak se co děje a co za čím vězí. Byli by rádi přemohli smrt nějakou kouzelnou torbou (jako v pohádce Voják a smrt), snili o dobrém čaroději, který byčlověku dal rychlost jelena nebo zajíce (Rychlý posel), snili o bystrých a statečných junácích, kteří by přemohli kruté pány a síly zla. Věřili, že se jednou najde bystrý junák-člověk, který to vyhraje i nad mistry-čaroději (Učedníknad mistra), že to chudí vyhrají nad bohatými pány, sebemocnějšími a sebekrutějšími (Vasil Chudák a Marko Bohatý). Věřili, že zlo nepřemůže pravdu ...""                     Pohádky ruské","skaut, junák"
1951,překladová, ,O junákovi s planoucím srdcem /,Z.G. Ljubina ; Z rus. pův. vyd. Gorjaščeje sěrdce přel. Naďa Dvořáková ; Il. Václav Šprungl, , ,12000 výt.,"Symbolická pohádka o statečném a poctivém chlapci Alinovi, který osvobodil z věčného zajetí princeznu Krásnou Pravdu a přivedl ji svému lidu, jejž zbavil zlého vladařova syna Karalina.", , , , , , , , , , ,Pohádky symbolické,"  O junákovi s planoucím srdcem / Z.G. Ljubina ; Z rus. pův. vyd. Gorjaščeje sěrdce přel. Naďa Dvořáková ; Il. Václav Šprungl     12000 výt. Symbolická pohádka o statečném a poctivém chlapci Alinovi, který osvobodil z věčného zajetí princeznu Krásnou Pravdu a přivedl ji svému lidu, jejž zbavil zlého vladařova syna Karalina.                     Pohádky symbolické","skaut, junák"
1952,původní česká, ,Korespondence s rodiči /,Jiří Wolker ; Uspoř. Zdena Wolkerová s Janem Kühndlem ; Předml.: Zdena Wolkerová ; Dosl.: Jan Kühndel, , ,5000 výt. Pozn.,"Soubor 282 dopisů, jež přispějí k poznání života a charakteru básníkova. Většinu z nich vyměnili rodiče se synem středoškolákem-skautem, s vysokoškolákem-právníkem v Praze a s pacientem v sanatoriu v Tatranské Poljance. Několik listů je od literárních přátel (Hora, Olbracht, Majerová) a od Wolkerovy spolupacientky z Tater jeho rodičům v posledních měsících básníkova života. Od dětství až po předčasný odchod můžeme sledovat, jak básníka formovala doba a životní prostředí. Zvláště střední oddíl listů ze studií (1919-22) přináší četné cenné zmínky o literární činnosti, růstu, názorech a stycích básnikových. Kniha doplňuje starší edici Píšovu ""Listy příteli"".", , , , , , , , , , ,"Wolker, Jiří (1900-1924 básník český) - Wolkerovi, Zdena a Ferdinand (rodiče) - dopisy Wolkerovi, Zdena a Ferdinand (rodiče básníka) - Wolker, Jiří - dopisy","  Korespondence s rodiči / Jiří Wolker ; Uspoř. Zdena Wolkerová s Janem Kühndlem ; Předml.: Zdena Wolkerová ; Dosl.: Jan Kühndel     5000 výt. Pozn. Soubor 282 dopisů, jež přispějí k poznání života a charakteru básníkova. Většinu z nich vyměnili rodiče se synem středoškolákem-skautem, s vysokoškolákem-právníkem v Praze a s pacientem v sanatoriu v Tatranské Poljance. Několik listů je od literárních přátel (Hora, Olbracht, Majerová) a od Wolkerovy spolupacientky z Tater jeho rodičům v posledních měsících básníkova života. Od dětství až po předčasný odchod můžeme sledovat, jak básníka formovala doba a životní prostředí. Zvláště střední oddíl listů ze studií (1919-22) přináší četné cenné zmínky o literární činnosti, růstu, názorech a stycích básnikových. Kniha doplňuje starší edici Píšovu ""Listy příteli"".                     Wolker, Jiří (1900-1924 básník český) - Wolkerovi, Zdena a Ferdinand (rodiče) - dopisy Wolkerovi, Zdena a Ferdinand (rodiče básníka) - Wolker, Jiří - dopisy","skaut, junák"
1952,překladová, ,Stateční junáci :,"Z rus. pův. vyd. Dobryj molodec, které uspoř. a upr. I. [spr. N.] Kolpakovová ... přel. Julie Brožová-Malá ; Il. Zdeněk Mlčoch", , ,30000 výt. Barev. il. a předsádky,"K nejkrásnějším pohádkám patří takové, ve kterých bojují stateční, odvážní lidé proti všem překážkám a protivenstvím, odvážně je překonávají a vybojují tak šťastný život všem lidem. Pohádky tohoto druhu jsou také shromážděny v tomto souboru, který přináší pohádku ruskou, baškirskou, čuvašskou, gruzínskou, ukrajinskou, jakutskou, běloruskou, komiskou, mansijskou, dolganskou, altajskou, lotyšskou, karelskou, nanajskou a kirgizskou. Vystupují v nich hrdinové - stateční junáci různých jmen, různé je prostředí, v němž děj probíhá, ale všem těmto příběhům je společné jedno: boj se zlem za spravedlivý život.", , , , , , , , , , ,Hrdinové - pohádky národů SSSR - výbory Pohádky národů SSSR - výbory,"  Stateční junáci : Z rus. pův. vyd. Dobryj molodec, které uspoř. a upr. I. [spr. N.] Kolpakovová ... přel. Julie Brožová-Malá ; Il. Zdeněk Mlčoch     30000 výt. Barev. il. a předsádky K nejkrásnějším pohádkám patří takové, ve kterých bojují stateční, odvážní lidé proti všem překážkám a protivenstvím, odvážně je překonávají a vybojují tak šťastný život všem lidem. Pohádky tohoto druhu jsou také shromážděny v tomto souboru, který přináší pohádku ruskou, baškirskou, čuvašskou, gruzínskou, ukrajinskou, jakutskou, běloruskou, komiskou, mansijskou, dolganskou, altajskou, lotyšskou, karelskou, nanajskou a kirgizskou. Vystupují v nich hrdinové - stateční junáci různých jmen, různé je prostředí, v němž děj probíhá, ale všem těmto příběhům je společné jedno: boj se zlem za spravedlivý život.                     Hrdinové - pohádky národů SSSR - výbory Pohádky národů SSSR - výbory","skaut, junák"
