rok,preklad,072_x,245_a,245_c,245_p,246_a,500_a,520_a,520_b,521_a,648_a,650_a,650_x,650_z,650_y,651_a,653_a,655_a,964_a,keywords,téma
1953,původní česká,Výchova a vzdělávání,Pionýrská organisace :,Miroslav Novotný ; fot. Miroslav Šindelář, , ,10400 výt.,"Práce objasňuje úlohu pionýrské organisace v socialistické výchově dorůstajícího pokolení, vysvětluje rozdíl mezi bývalou buržoasní dětskou organisací Junák a pionýrskou organisací ČSM a vymezuje místo pionýr. organisace v naší lid. dem. škole: uvádí dále hlavní formy a methody práce pionýr. organisace v úsilí o zlepšení vědomostí dětí (pionýr. schůzky a shromáždění, thematické besedy, exkurse, vycházky, návštěvy kultur. podniků, zájmové kroužky) a zabývá se úlohou vedoucího pionýrů, ředitele školy a učitelů. - Je určena především učitelům a ředitelům střed. a národ. škol.", , , ,pedagogika školství výchova a vzdělávání, , , , , ,příručky,Pionýři - organizace pionýrská - výchova socialist. školská Školství - organizace pionýrská - výchova socialist.,"Výchova a vzdělávání Pionýrská organisace : Miroslav Novotný ; fot. Miroslav Šindelář     10400 výt. Práce objasňuje úlohu pionýrské organisace v socialistické výchově dorůstajícího pokolení, vysvětluje rozdíl mezi bývalou buržoasní dětskou organisací Junák a pionýrskou organisací ČSM a vymezuje místo pionýr. organisace v naší lid. dem. škole: uvádí dále hlavní formy a methody práce pionýr. organisace v úsilí o zlepšení vědomostí dětí (pionýr. schůzky a shromáždění, thematické besedy, exkurse, vycházky, návštěvy kultur. podniků, zájmové kroužky) a zabývá se úlohou vedoucího pionýrů, ředitele školy a učitelů. - Je určena především učitelům a ředitelům střed. a národ. škol.       pedagogika školství výchova a vzdělávání           příručky Pionýři - organizace pionýrská - výchova socialist. školská Školství - organizace pionýrská - výchova socialist.","skaut, junák"
1953,původní česká,Výchova a vzdělávání,Skauting ve službách podněcovatelů války /,Alois Poledňák, , ,8000 výt.,"Brožura pojednává o poslání, které dal skautingu jeho zakladatel, anglický imperialista a zastánce vyhlazovacích koloniálních metod Baden-Powell, o zavedení skautingu u nás a službách, které šířením nacionalismu a kosmopolitismu pod rouškou dobrodružné romantičnosti prokazoval české buržoasii v jejím tažení proti dělnické třídě. Ukázáno je zároveň, jak po druhé světové válce přišla skautská výchova vhod americkým imperialistům jako průprava agentů špionáže a diverse.", , , ,skauting,politické aspekty, , , , ,brožury, ,"Výchova a vzdělávání Skauting ve službách podněcovatelů války / Alois Poledňák     8000 výt. Brožura pojednává o poslání, které dal skautingu jeho zakladatel, anglický imperialista a zastánce vyhlazovacích koloniálních metod Baden-Powell, o zavedení skautingu u nás a službách, které šířením nacionalismu a kosmopolitismu pod rouškou dobrodružné romantičnosti prokazoval české buržoasii v jejím tažení proti dělnické třídě. Ukázáno je zároveň, jak po druhé světové válce přišla skautská výchova vhod americkým imperialistům jako průprava agentů špionáže a diverse.       skauting politické aspekty         brožury  ","skaut, junák"
1953,původní česká,Česká poezie,Alšova vlast :,Ladislav Stehlík, , ,20000 výt. Seznam názvů obrazů Alšovy Vlasti,"K Alšovu cyklu 14 lunet, vytvořených r. 1880 pro foyer Národního divadla, napsal autor básnický doprovod, který volným, nerýmovaným veršem charakterisuje myšlenku každého jednotlivého obrazu cyklu i jeho společnou dějovou linii - pouť dávnověkého českého bohatýra, jeho hrdinské činy na ochranu vlasti před nepřáteli a jeho smrt - symbolické splynutí s rodnou zemí po vykonaném životním úkolu. Jazykem, archaisujícím ve stylu slovanských bylin a lidového epického básnictví, navozuje autor atmosféru českého pohanství, vystihuje poesii krajů, kudy junák putuje, i ducha jejich obyvatel, z něhož předjímá příští hrdinské tradice českého národa, a konec bohatýrovy životní pouti mění v oslavu lásky k vlasti, jíž je prostoupen celý cyklus obrazový i básnický: ""V tobě je všechno, početí i návrat, / zrození, svatby - neboť není smrti - / ty věčná, krásná, sladká, nehynoucí, / jediná, pravá, nekonečná Vlasti, / lásko a matko, štěstí nevýslovné ..."" /", , , , , , , , , ,česká poezie,"Aleš, Mikoláš (1852-1913 malíř čes.): Vlast - básně","Česká poezie Alšova vlast : Ladislav Stehlík     20000 výt. Seznam názvů obrazů Alšovy Vlasti K Alšovu cyklu 14 lunet, vytvořených r. 1880 pro foyer Národního divadla, napsal autor básnický doprovod, který volným, nerýmovaným veršem charakterisuje myšlenku každého jednotlivého obrazu cyklu i jeho společnou dějovou linii - pouť dávnověkého českého bohatýra, jeho hrdinské činy na ochranu vlasti před nepřáteli a jeho smrt - symbolické splynutí s rodnou zemí po vykonaném životním úkolu. Jazykem, archaisujícím ve stylu slovanských bylin a lidového epického básnictví, navozuje autor atmosféru českého pohanství, vystihuje poesii krajů, kudy junák putuje, i ducha jejich obyvatel, z něhož předjímá příští hrdinské tradice českého národa, a konec bohatýrovy životní pouti mění v oslavu lásky k vlasti, jíž je prostoupen celý cyklus obrazový i básnický: ""V tobě je všechno, početí i návrat, / zrození, svatby - neboť není smrti - / ty věčná, krásná, sladká, nehynoucí, / jediná, pravá, nekonečná Vlasti, / lásko a matko, štěstí nevýslovné ..."" /                   česká poezie Aleš, Mikoláš (1852-1913 malíř čes.): Vlast - básně","skaut, junák"
1954,původní česká, ,Černohorští junáci /,Josef Holeček, , ,5400 výt. Životopisná pozn. o autorovi,"Z nepřeberného množství povídek a črt, v nichž Josef Holeček vykreslil ""národní duši praslovanskou, duši krásnou, silnou a zdravou"", jak ji zastihl ještě na sklonku minulého století u jižních Slovanů, přináší výbor několik ukázek vyňatých z ""Junáckých kreseb černohorských"" a z ""Černohorských povídek"". Tematicky se vztahují k událostem, které Holeček sám prožil, když se jako válečný dopisovatel Národních listů účastnil hercegovského povstání a černohorské války proti Turkům v letech 1875-76. Všechny povídky jsou naplněny vřelým obdivem k junáckým bojovníkům za svobodu, k jejich nezištnému vlastenectví, hluboké lidskosti a ohnivé nenávisti k tureckým utlačovatelům.", , , , , , , , , , ,"Miljanov, Marko (1833-1901 vojvoda kučský) - povídky Černá Hora - život ve stol. 19., 2 pol. - povídky Kučové (kmen černohorský) - boj s Turky ve stol. 19., 2. pol. - povídky","  Černohorští junáci / Josef Holeček     5400 výt. Životopisná pozn. o autorovi Z nepřeberného množství povídek a črt, v nichž Josef Holeček vykreslil ""národní duši praslovanskou, duši krásnou, silnou a zdravou"", jak ji zastihl ještě na sklonku minulého století u jižních Slovanů, přináší výbor několik ukázek vyňatých z ""Junáckých kreseb černohorských"" a z ""Černohorských povídek"". Tematicky se vztahují k událostem, které Holeček sám prožil, když se jako válečný dopisovatel Národních listů účastnil hercegovského povstání a černohorské války proti Turkům v letech 1875-76. Všechny povídky jsou naplněny vřelým obdivem k junáckým bojovníkům za svobodu, k jejich nezištnému vlastenectví, hluboké lidskosti a ohnivé nenávisti k tureckým utlačovatelům.                     Miljanov, Marko (1833-1901 vojvoda kučský) - povídky Černá Hora - život ve stol. 19., 2 pol. - povídky Kučové (kmen černohorský) - boj s Turky ve stol. 19., 2. pol. - povídky","skaut, junák"
1955,překladová,Literatura pro děti a mládež (beletrie),Lovec Charibu /,"V., [spr. A.] Brindarov ; Literárně zpracovala Z[oja Mojsejevna] Zadunajská ; Z rus. pův. vyd. Ochotnik Charibu přel. a pozn. opatřil Bohdan Bittmann ; Il. Lumír Ševčík", , ,15000 výt. S barev. il. předsádkami Pro čtenáře od 9 let,"Svou thematikou a svým posláním se neliší pět pohádek východních národů od pohádek našeho lidu: i z těchto příběhů mluví touha po vítězství dobra nad zlem, po spravedlivém uznání prostých a dobrých lidí; i v těchto pohádkách vystupují chrabří junáci, bojující proti drakům, i v těchto zkazkách připisují lidé z neznalosti vysvětlení přírodních zjevů různým nadpřirozeným silám. Navíc jsou tato drobná díla dokladem prastaré a hluboké kultury národů evropskému čtenáři ne vždycky dobře známých, jsou dokladem nesmírné statečnosti, ušlechtilosti a bohaté obrazotvornosti jejich lidu.", , , , , , , , , ,pohádky publikace pro děti,Pohádky národů SSSR Pohádky východní,"Literatura pro děti a mládež (beletrie) Lovec Charibu / V., [spr. A.] Brindarov ; Literárně zpracovala Z[oja Mojsejevna] Zadunajská ; Z rus. pův. vyd. Ochotnik Charibu přel. a pozn. opatřil Bohdan Bittmann ; Il. Lumír Ševčík     15000 výt. S barev. il. předsádkami Pro čtenáře od 9 let Svou thematikou a svým posláním se neliší pět pohádek východních národů od pohádek našeho lidu: i z těchto příběhů mluví touha po vítězství dobra nad zlem, po spravedlivém uznání prostých a dobrých lidí; i v těchto pohádkách vystupují chrabří junáci, bojující proti drakům, i v těchto zkazkách připisují lidé z neznalosti vysvětlení přírodních zjevů různým nadpřirozeným silám. Navíc jsou tato drobná díla dokladem prastaré a hluboké kultury národů evropskému čtenáři ne vždycky dobře známých, jsou dokladem nesmírné statečnosti, ušlechtilosti a bohaté obrazotvornosti jejich lidu.                   pohádky publikace pro děti Pohádky národů SSSR Pohádky východní","skaut, junák"
1957,původní česká,Česká próza Literatura pro děti a mládež (beletrie),Ztracená stopa /,Jaromír Stříž, , ,3300 výt.,"Vyprávění o životě skautů za předmnichovské republiky. Detektivní zápletku tvoří napínavé příhody ""Železné trojky"", jak se pojmenovali tři bystří a podnikaví chlapci, jimž se podařilo odhalit zrádcovskou akci záškodníků, kteří pašovali z Pruska fašistické letáky a zbraně.", ,Pro čtenáře od 11 let, , , , , , , ,české povídky publikace pro děti,Povídky dobrodružné pro mládež,"Česká próza Literatura pro děti a mládež (beletrie) Ztracená stopa / Jaromír Stříž     3300 výt. Vyprávění o životě skautů za předmnichovské republiky. Detektivní zápletku tvoří napínavé příhody ""Železné trojky"", jak se pojmenovali tři bystří a podnikaví chlapci, jimž se podařilo odhalit zrádcovskou akci záškodníků, kteří pašovali z Pruska fašistické letáky a zbraně.   Pro čtenáře od 11 let               české povídky publikace pro děti Povídky dobrodružné pro mládež","skaut, junák"
1958,překladová, ,Jugoslávské zpěvy :,"vybral, uspoř. a předmluvu naps. Oton Berkopec ; ze srbochorv. a slovinštiny přel. František Halas, Vilém Závada a Oton Berkopec ; Ludvík Kuba: Dovětek písničkářův ; il. do dřeva vyřezal Ferdiš Duša", , ,Přehl. lit. Noty 3500 výt. Vysvětl.,"Sborník lidové epiky jižních Slovanů. Obsahuje srbské, chorvatské a makedonské písně junácké, zpívající o utrpení a bojích jihoslovanských národů za svobodu.", , , , , , , , , , ,Písně lidové jugoslávské - výbory Epika lidová jugoslávská - výbory,"  Jugoslávské zpěvy : vybral, uspoř. a předmluvu naps. Oton Berkopec ; ze srbochorv. a slovinštiny přel. František Halas, Vilém Závada a Oton Berkopec ; Ludvík Kuba: Dovětek písničkářův ; il. do dřeva vyřezal Ferdiš Duša     Přehl. lit. Noty 3500 výt. Vysvětl. Sborník lidové epiky jižních Slovanů. Obsahuje srbské, chorvatské a makedonské písně junácké, zpívající o utrpení a bojích jihoslovanských národů za svobodu.                     Písně lidové jugoslávské - výbory Epika lidová jugoslávská - výbory","skaut, junák"
1958,překladová, ,Jugoslávské zpěvy :,"vybral, uspoř. a předmluvu naps. Oton Berkopec ; ze srbochorv. a slovinštiny přel. František Halas, Vilém Závada a Oton Berkopec ; Ludvík Kuba: Dovětek písničkářův ; il. do dřeva vyřezal Ferdiš Duša", , ,Přehl. lit. Noty 3500 výt. Vysvětl.,"Sborník lidové epiky jižních Slovanů. Obsahuje srbské, chorvatské a makedonské písně junácké, zpívající o utrpení a bojích jihoslovanských národů za svobodu.", , , , , , , , , , ,Písně lidové jugoslávské - výbory Epika lidová jugoslávská - výbory,"  Jugoslávské zpěvy : vybral, uspoř. a předmluvu naps. Oton Berkopec ; ze srbochorv. a slovinštiny přel. František Halas, Vilém Závada a Oton Berkopec ; Ludvík Kuba: Dovětek písničkářův ; il. do dřeva vyřezal Ferdiš Duša     Přehl. lit. Noty 3500 výt. Vysvětl. Sborník lidové epiky jižních Slovanů. Obsahuje srbské, chorvatské a makedonské písně junácké, zpívající o utrpení a bojích jihoslovanských národů za svobodu.                     Písně lidové jugoslávské - výbory Epika lidová jugoslávská - výbory","skaut, junák"
1958,překladová, ,Diamantová sekera :,z rus. orig. přel. Jaroslav Tichý ; [barev.] il. Vladimír Brehovszký, , ,Barev. il. předsádky a frontispice 40000 výt.,"Litevské, lotyšské a estonské pohádky se svérázným kouzlem vyprávějí o junácích, kteří vítězně bojují s mocnostmi zla, o špatně končících příbězích lakomců a nadutců, o příhodách zvířat a jiných událostech, v nichžseobrážílidovámoudrost a touha po spravedlnosti.", , , , , , , , , , ,Pohádky baltské Pohádky národů SSSR,"  Diamantová sekera : z rus. orig. přel. Jaroslav Tichý ; [barev.] il. Vladimír Brehovszký     Barev. il. předsádky a frontispice 40000 výt. Litevské, lotyšské a estonské pohádky se svérázným kouzlem vyprávějí o junácích, kteří vítězně bojují s mocnostmi zla, o špatně končících příbězích lakomců a nadutců, o příhodách zvířat a jiných událostech, v nichžseobrážílidovámoudrost a touha po spravedlnosti.                     Pohádky baltské Pohádky národů SSSR","skaut, junák"
1959,původní česká, ,Tři orlí pera /,[Autor:] Jan Mareš ; [Barev.] Il. Josef Paleček, , ,20000 výt. Pro čtenáře od 9 let,"Kniha pro mládež o chlapcích z oddílu Spartakových skautů práce, o jejich táboření, dobrodružstvích a politické výchově, která se projeví cennou účastí celého oddílu v dělnické stávce bojem proti četnické intervenci a stávkokazům.", , , , , , , , , , ,Skauti dělničtí - ČSR předmnichovská - knihy pro mládež,"  Tři orlí pera / [Autor:] Jan Mareš ; [Barev.] Il. Josef Paleček     20000 výt. Pro čtenáře od 9 let Kniha pro mládež o chlapcích z oddílu Spartakových skautů práce, o jejich táboření, dobrodružstvích a politické výchově, která se projeví cennou účastí celého oddílu v dělnické stávce bojem proti četnické intervenci a stávkokazům.                     Skauti dělničtí - ČSR předmnichovská - knihy pro mládež","skaut, junák"
1959,původní česká, ,Zlín 22 - Junák :,konstrukce [a text] Rad. Čížek, , ,Seznam modelářských prodejen Techn. data, , , , , , , , , , , ,Letadla sportovní (modely) - konstrukce,  Zlín 22 - Junák : konstrukce [a text] Rad. Čížek     Seznam modelářských prodejen Techn. data                       Letadla sportovní (modely) - konstrukce,"skaut, junák"
1960,překladová, ,Kolo bulharských pohádek /,"Ran Bosilek ; [z bulh. pův. vyd. Radost a Neznaen junak vybr. a přel. Dana Hronková, rytmizované pohádky za básnické spolupráce Jarmily Urbánkové ; [barev.] il. Jiří Hejna]", , ,Pro čtenáře od 6 let 20000 výt.,"Pestrý výbor obsahuje krom pohádek o zvířatech a pohádek o carech, princeznách a statečných junácích též řadu pohádkových příběhů, v nichž se odráží život a moudrost prostého lidu.", , , , , , , , , , ,Pohádky bulharské,"  Kolo bulharských pohádek / Ran Bosilek ; [z bulh. pův. vyd. Radost a Neznaen junak vybr. a přel. Dana Hronková, rytmizované pohádky za básnické spolupráce Jarmily Urbánkové ; [barev.] il. Jiří Hejna]     Pro čtenáře od 6 let 20000 výt. Pestrý výbor obsahuje krom pohádek o zvířatech a pohádek o carech, princeznách a statečných junácích též řadu pohádkových příběhů, v nichž se odráží život a moudrost prostého lidu.                     Pohádky bulharské","skaut, junák"
