GR_isbn,GR_date,GR_title,GR_rating,GR_ratings_count,GR_reviews,GR_published,GR_1_stars,GR_2_stars,GR_3_stars,GR_4_stars,GR_5_stars
9788027721405.0,2024-04-01 14:13:06,V hrůze a krvi zrozeni by Kevin Wulfric Scherrer,3.7,10.0,1.0,"January 25, 2023",,,,,
9788076900387.0,2024-04-01 14:13:09,Úzkost je rozkoš II/II: … nejsem nebudu nebyl jsem by Karel Šebek,5.0,2.0,0.0,"January 1, 2023",,,,,
9788026446965.0,2024-04-01 14:13:20,Věčně věrný nepřítel - anorexie by Michaela Hošková,3.0,5.0,2.0,"January 1, 2023",,,,,
9788076110809.0,2024-04-01 14:13:26,Zpověď posledního mnicha by František Kalenda,3.67,6.0,1.0,"May 2, 2023",,,,,
9788026724759.0,2024-04-01 14:13:34,Proti srsti by Klára Mandausová,4.5,2.0,1.0,"January 1, 2023",,,,,
9788090856844.0,2024-04-01 14:13:51,Tetam by Petya Stach,4.0,2.0,0.0,"January 1, 2023",,,,,
9788090856837.0,2024-04-01 14:13:54,Pommes frites by Jan Valík,1.5,2.0,0.0,"January 1, 2023",,,,,
9788090856851.0,2024-04-01 14:13:57,Nepůvodní druhy by Tomáš Tománek,3.33,3.0,0.0,"January 1, 2023",,,,,
9788088467687.0,2024-04-01 14:14:06,Biograf láska by Uljana Donátová,3.25,4.0,0.0,"January 1, 2023",,,,,
9788088488392.0,2024-04-01 14:14:09,Paní jara by Leandra Sold,4.0,16.0,5.0,"January 1, 2023",,,,,
9788075884701.0,2024-04-01 14:14:13,"Strašidlo minulosti (Ota Fink, #8) by Jaroslav Velinský",4.57,7.0,2.0,"January 1, 2023",,,,,
9788088346234.0,2024-04-01 14:14:20,Elektrickej strom by Jarmila Kašparová,4.38,8.0,2.0,"June 26, 2023",,,,,
9788074434907.0,2024-04-01 14:14:33,Křížeček na čelo by Eva Marie Růžena,2.71,7.0,1.0,"January 1, 2023",,,,,
9788074434914.0,2024-04-01 14:14:35,Epocha žárovky by Martin Dytko,3.0,4.0,0.0,"January 1, 2023",,,,,
9788090856882.0,2024-04-01 14:14:41,<30 by Anežka Nováková,2.0,1.0,0.0,"January 1, 2023",,,,,
9788088067856.0,2024-04-01 14:14:49,Rovnováha by Petr Švec,4.2,5.0,2.0,"May 22, 2023",,,,,
9788090856820.0,2024-04-01 14:14:53,Haloklina by Jakub Strouhal,5.0,7.0,2.0,"January 1, 2023",,,,,
9788024950839.0,2024-04-01 14:14:56,Životní (s)milníky by Jitka Slavíková,0.0,0.0,0.0,"June 1, 2023",,,,,
9788024951300.0,2024-04-01 14:14:59,Kapitánova čest by Lucie Jehličková,3.0,2.0,0.0,"August 1, 2023",,,,,
9788073294847.0,2024-04-01 14:15:07,Trnková zima by Anna Malchárková,5.0,1.0,1.0,"January 1, 2023",,,,,
9788076339538.0,2024-04-01 14:15:10,Písnička pro Klaudii by Petra Langová,3.8,10.0,1.0,"May 12, 2023",,,,,
9788024651729.0,2024-04-01 14:15:12,Transfigured Night (Modern Czech Classics) by Libuše Moníková,3.67,9.0,3.0,"September 19, 2023",,,,,
9788026724964.0,2024-04-01 14:15:15,Mezi nimi by Veronika González,3.98,43.0,4.0,"January 1, 2023",,,,,
9788027909988.0,2024-04-01 14:15:28,Vražedná krása by Jaroslava Černá,5.0,1.0,1.0,"January 1, 2023",,,,,
9788027909872.0,2024-04-01 14:15:31,"Katův odkaz (Letopisy královské komory, #17) by Vlastimil Vondruška",4.0,4.0,0.0,"January 1, 2023",,,,,
9788027515745.0,2024-04-01 14:15:37,Uhrwerk by Bogdan Trojak,3.0,3.0,0.0,"January 1, 2023",,,,,
9788027722372.0,2024-04-01 14:15:43,Teorie býka by Magdalena Maxová,3.88,26.0,5.0,"January 1, 2023",,,,,
9788075304278.0,2024-04-01 14:15:46,Poslední divoké objetí by Luděk Čertík,4.5,2.0,1.0,"June 14, 2023",,,,,
9788027910014.0,2024-04-01 14:15:54,Kronika hříšného kněze aneb Bestie z Karlštejna by Naďa Horáková,3.6,5.0,1.0,"January 1, 2023",,,,,
9788025741528.0,2024-04-01 14:15:57,Pod Kaštanem by Barbora Majchráková,3.0,6.0,2.0,"June 15, 2023",,,,,
9788027909995.0,2024-04-01 14:16:00,Bůh lovu by Věra Mertlíková,3.0,3.0,1.0,"January 1, 2023",,,,,
9788024288734.0,2024-04-01 14:16:18,Prokletí domu U Dvou růží by Jan  Bauer,0.0,0.0,0.0,"January 1, 2023",,,,,
9788075464620.0,2024-04-01 14:16:21,Trnitá cesta by Sarah Parsley,3.33,3.0,0.0,"January 1, 2023",,,,,
9788027910236.0,2024-04-01 14:16:26,Kdo ti píše? by Dagmar Digma Čechová,4.33,3.0,1.0,"January 1, 2023",,,,,
9788027910045.0,2024-04-01 14:16:29,smrt hraje vrhcáby by Martina Novotná,3.0,1.0,0.0,"January 1, 2023",,,,,
9788027910106.0,2024-04-01 14:16:34,Předloha pro vraždu by Eva Mašková,2.67,3.0,2.0,"January 1, 2023",,,,,
9788025741917.0,2024-04-01 14:16:46,Vilda: Příběh tančícího elegána Vildy Jakše by Dalibor Vácha,4.11,9.0,2.0,"January 1, 2023",,,,,
9788025741429.0,2024-04-01 14:16:49,Poslední kacíř by Martin Chadima,2.71,7.0,2.0,"January 1, 2023",,,,,
9788025741863.0,2024-04-01 14:16:52,Amsterodamské vigilie by Lenka Horňáková-Civade,3.4,10.0,4.0,"January 1, 2023",,,,,
9788025742303.0,2024-04-01 14:16:59,Evropanka: Historky z Polesí by Alexej Sevruk,4.0,11.0,0.0,"January 1, 2023",,,,,
9788088437109.0,2024-04-01 14:17:09,Krvavý náhrobek by Anna Beatrix Bártová,3.56,9.0,5.0,"June 1, 2023",,,,,
9788074565403.0,2024-04-01 14:17:18,Strnadův efekt by Jan Kotouč,4.36,22.0,4.0,"January 1, 2023",,,,,
9788025742365.0,2024-04-01 14:17:21,Město v mlze by Jaroslav Konáš,4.0,24.0,8.0,"January 1, 2023",,,,,
9788025743188.0,2024-04-01 14:17:25,Rváčov 2 by Džian Baban,4.25,4.0,0.0,"January 1, 2023",,,,,
9788082860019.0,2024-04-01 14:17:31,Na kolenách by Alica Cárska,3.89,37.0,9.0,"January 1, 2023",,,,,
9788024292342.0,2024-04-01 14:17:34,Zvedá se vítr by Kateřina Surmanová,3.68,91.0,15.0,"September 1, 2023",,,,,
9788024951706.0,2024-04-01 14:17:41,Italské mentolky by Marta Kučíková,3.6,5.0,2.0,"September 1, 2023",,,,,
9788088483502.0,2024-04-01 14:17:45,Psina s princem by Petra Nachtmanová,0.0,0.0,0.0,"January 1, 2023",,,,,
9788074434976.0,2024-04-01 14:17:55,Hořím v kameni by Marie Jehličková,4.0,2.0,2.0,"June 1, 2023",,,,,
9788074434891.0,2024-04-01 14:17:58,Nějaké ženy a jacísi muži by Alena Zemančíková,4.0,2.0,0.0,"January 1, 2023",,,,,
9788090889804.0,2024-04-01 14:18:02,Kastelán by Maximilián Kavalír,2.0,1.0,1.0,"January 1, 2023",,,,,
9788088635109.0,2024-04-01 14:18:05,Zresetuj mě by Michal Sirotek,4.83,6.0,2.0,"June 26, 2023",,,,,
9788088635062.0,2024-04-01 14:18:08,Pomiluj smrt by Veronika Fiedlerová,4.0,13.0,1.0,"January 1, 2023",,,,,
9788088067993.0,2024-04-01 14:18:11,Sešívance: Druhý steh by Honza Vojtíšek,3.6,5.0,1.0,"January 1, 2023",,,,,
9788075211828.0,2024-04-01 14:18:17,Poslední cestopisy by Zofia Bałdyga,4.83,18.0,1.0,"January 1, 2023",,,,,
9788076624931.0,2024-04-01 14:18:26,"Kniha, kterou posypal hvězdný prach by Nora Eckhardtová",3.52,66.0,10.0,"August 1, 2023",,,,,
9788087908648.0,2024-04-01 14:18:35,Povyk by Božena Správcová,4.0,1.0,0.0,"January 1, 2023",,,,,
9788020721839.0,2024-04-01 14:18:38,Tchyně nemá jazyk by Kateřina Rudčenková,3.5,14.0,1.0,"September 1, 2023",,,,,
9788075501455.0,2024-04-01 14:18:43,Sidonie by Věra Pasiarová,4.0,1.0,0.0,"January 1, 2023",,,,,
9788074043741.0,2024-04-01 14:18:48,Zloděj tváří by Arnošt Vašíček,3.0,4.0,2.0,"January 1, 2023",,,,,
9788075211224.0,2024-04-01 14:18:50,Výlet do Schengenu / Můj jediný čtenář by Jonáš Hájek,3.6,5.0,2.0,"January 1, 2023",,,,,
9788025363850.0,2024-04-01 14:19:01,Trnitá kletba by Anežka Kočová,4.0,42.0,8.0,"August 31, 2023",,,,,
9788020721723.0,2024-04-01 14:19:09,Žena ve tvaru sklenice by Irena Šťastná,3.5,4.0,0.0,"January 1, 2023",,,,,
9788024951898.0,2024-04-01 14:19:12,Svatební historky aneb Jak jsem se nevdala by Lucie Macháčková,3.71,51.0,12.0,"January 1, 2023",,,,,
9788024292182.0,2024-04-01 14:19:16,Po stopách zločinů by Alena Mornštajnová,3.62,13.0,1.0,"October 1, 2023",,,,,
9788088488446.0,2024-04-01 14:19:19,Vrčící naděje by Lenka Hnátová,3.75,4.0,1.0,"January 1, 2023",,,,,
9788072225743.0,2024-04-01 14:19:22,Kriminální případy z Orlických hor 2 by Jiří Mach,3.0,1.0,0.0,"July 1, 2023",,,,,
9788027910137.0,2024-04-01 14:19:29,"Jak se do lesa volá (Martin Stein, #3) by Marie Horová",3.0,1.0,0.0,"January 1, 2023",,,,,
9788027722389.0,2024-04-01 14:19:32,Koruna otráveného stromu by Vlaďka Sacká,3.5,4.0,2.0,"January 1, 2023",,,,,
9788090876408.0,2024-04-01 14:19:35,Otevřely se dveře by Jiří Staněk,2.0,1.0,0.0,"January 1, 2023",,,,,
9788024951157.0,2024-04-01 14:19:47,Karel IV. – Vzpoura vévodů by Jaromír Jindra,0.0,0.0,0.0,"August 1, 2023",,,,,
9788024292724.0,2024-04-01 14:19:51,Zítra přijde Olah by Martin Sichinger,3.91,22.0,3.0,"September 1, 2023",,,,,
9788024293271.0,2024-04-01 14:20:06,Největší záhady zločinu by Jaroslav V. Mareš,4.25,4.0,1.0,"January 1, 2023",,,,,
9788024951713.0,2024-04-01 14:20:15,Kam jede tohle nástupiště by Iva Pekárková,3.67,9.0,2.0,"October 1, 2023",,,,,
9788024951577.0,2024-04-01 14:20:18,Bobky a fajnový koření by Zuzana Hubeňáková,3.33,3.0,1.0,"September 1, 2023",,,,,
9788024951256.0,2024-04-01 14:20:21,Anežka z Kuenringu: První po královně by Hana Parkánová-Whitton,3.0,2.0,1.0,"October 1, 2023",,,,,
9788074926723.0,2024-04-01 14:20:23,Z Babylonu do Silicon Valley a zpět? by Jan Jakub Šalomoun,4.5,2.0,1.0,"January 1, 2023",,,,,
9788024292885.0,2024-04-01 14:20:27,Srdce z ledu by Jitka Ludvíková,4.8,5.0,0.0,"October 1, 2023",,,,,
9788090828995.0,2024-04-01 14:20:38,13! by Pavel Tomeš,4.0,32.0,3.0,"January 1, 2023",,,,,
9788072605712.0,2024-04-01 14:20:40,Toyen: první dáma surrealismu by Andrea Sedláčková,4.93,15.0,2.0,"January 1, 2023",,,,,
9788027515967.0,2024-04-01 14:20:44,Zbabělí hrdinové by Simona Bohatá,3.38,8.0,0.0,"January 1, 2023",,,,,
9788027910182.0,2024-04-01 14:20:46,Sagittarius by Václav Křivanec,2.2,5.0,1.0,"January 1, 2023",,,,,
9788027151783.0,2024-04-01 14:20:49,Rty s příchutí vína by Aleš Novotný,3.81,37.0,11.0,"January 1, 2023",,,,,
9788027517701.0,2024-04-01 14:20:55,Lenochod Jimmy & jeho backup band by Pavel Bareš,4.18,109.0,24.0,"October 3, 2023",,,,,
9788075212153.0,2024-04-01 14:21:06,Zbabělé zápisky z ukrajinské války by Adéla Knapová,3.33,12.0,2.0,"January 1, 2023",,,,,
9788026448464.0,2024-04-01 14:21:14,Deníček Camille G: Troječka by Camille G,4.0,1.0,0.0,"January 1, 2023",,,,,
9788088635185.0,2024-04-01 14:21:28,Polibek Choroby by Tom Gottwald,3.29,7.0,2.0,"July 31, 2023",,,,,
9788027518128.0,2024-04-01 14:21:37,Vyhoření by Petr Šesták,3.85,46.0,7.0,"January 1, 2023",,,,,
9788027518111.0,2024-04-01 14:21:41,Taneční hodiny dělníků dřevařského závodu by Václav Vomáčka,0.0,0.0,0.0,"January 1, 2023",,,,,
9788027517619.0,2024-04-01 14:21:44,Pláňata by Petra Dvořáková,3.84,238.0,28.0,"October 1, 2023",,,,,
9788027517909.0,2024-04-01 14:21:49,Němé duše by Jitka Ládrová,3.21,24.0,8.0,"January 1, 2023",,,,,
9788090829978.0,2024-04-01 14:21:54,Padlý anděl by Petra Kamlachová,3.67,3.0,0.0,"August 10, 2023",,,,,
9788027518142.0,2024-04-01 14:22:00,Vážný román by Pavel Zajíc,4.0,2.0,0.0,"January 1, 2023",,,,,
9788076374041.0,2024-04-01 14:22:03,Láska je kurva a jiné povídky by Petr Šabach,3.75,8.0,0.0,"October 1, 2023",,,,,
9788088641018.0,2024-04-01 14:22:07,"Rád čichám ke zvířatům, která jsi vycpala ty by Luboš Svoboda",4.14,14.0,2.0,"January 1, 2023",,,,,
9788027517459.0,2024-04-01 14:22:09,"Nekonečný krok (Koruna snů, #2) by Jan Kucin",4.33,3.0,0.0,"November 24, 2023",,,,,
