DK_isbn,DK_date,DK_titul,DK_tags,DK_Chci_si_koupit,DK_rating,DK_ratings_count,DK_Přečtených,DK_Chystám_se_číst,DK_Právě_čtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Doporučených,DK_dalších_seznamech
9788020614605,2024-04-01 15:00:34,Na vlnách sektu a nikotinu,['pro muže'],8.0,47.0,3.0,3.0,10.0,,,,,
9788076509412,2024-04-01 15:00:35,Vraždy na Dvojce,"['detektivní a krimi romány', 'české krimi', 'české detektivky']",7.0,75.0,19.0,25.0,32.0,2.0,4.0,35.0,,
9788076900370,2024-04-01 15:00:37,Úzkost je rozkoš I/II: s posvátným hrncem na hlavě,[],6.0,100.0,2.0,3.0,7.0,,,8.0,,
9788088482086,2024-04-01 15:00:38,Drudenheim,"['česká literatura', 'Sudety']",,80.0,2.0,2.0,,,1.0,,,
9788076509573,2024-04-01 15:00:41,CoolMom in da house,"['humor', 'mateřství', 'rodičovská dovolená']",6.0,73.0,9.0,8.0,16.0,1.0,,,1.0,
9788076509832,2024-04-01 15:00:43,"Všechno, co jsem zapomněla",[],10.0,86.0,24.0,22.0,13.0,,,4.0,4.0,
9788011024000,2024-04-01 15:00:44,Hrdinové covidu aneb Mezi laboratoří a vlivem,"['koronavirus, covid-19']",2.0,70.0,2.0,3.0,2.0,,2.0,,,
9788090845718,2024-04-01 15:00:45,Grimoár,[],1.0,80.0,1.0,1.0,2.0,,,2.0,,
9788076508934,2024-04-01 15:00:47,Sídliště Svět,"['česká literatura', 'bezdomovci', 'tajemství', 'rodinné vztahy', 'knihovny']",11.0,83.0,35.0,47.0,39.0,,12.0,38.0,4.0,
9788088456094,2024-04-01 15:00:48,Kudy? Tudy!,[],1.0,87.0,9.0,11.0,6.0,1.0,4.0,4.0,,
9788086158730,2024-04-01 15:00:50,Když je v noci zima,['prvotina'],,100.0,2.0,2.0,,,,,,
9788075512918,2024-04-01 15:00:51,O naplněné lásce mezi člověkem a psem,"['psi', 'knírač', 'člověk a pes']",,100.0,1.0,1.0,4.0,,,,,
9788087780336,2024-04-01 15:00:52,Povídání u povidel / O vakeriben paš o lekvaris,"['dvojjazyčná vydání', 'romština', 'pro děti od 6 let', 'romská literatura']",,80.0,3.0,3.0,6.0,,,,,2.0
9788074762628,2024-04-01 15:00:54,Bez mezí,[],,60.0,1.0,2.0,,,,1.0,,
9788074762666,2024-04-01 15:00:55,Úterní poledne,"['sex', 'postmoderna', 'New York', 'tajemno', 'milostné romány', 'česká literatura', 'zrada', 'psychologické romány', 'fantazie', 'české romány']",12.0,80.0,13.0,14.0,42.0,,1.0,5.0,1.0,
9788027603893,2024-04-01 15:00:56,Expedice badatele Věnceslava Brábka do devonských krajin s prvními pralesy,"['české sci-fi', 'pro chlapce']",1.0,80.0,1.0,2.0,,,1.0,2.0,1.0,
9788073255596,2024-04-01 15:00:58,V setmělém horizontu,[],,100.0,1.0,2.0,4.0,,,2.0,1.0,
9788024284439,2024-04-01 14:55:46,Vodní hrob,[],29.0,77.0,132.0,147.0,72.0,,31.0,95.0,2.0,2.0
9788027801497,2024-04-01 14:55:47,Město v oblacích,"['mimozemšťané', 'české sci-fi', 'zmizení lidí', 'postapokalyptické romány']",65.0,83.0,351.0,437.0,268.0,9.0,44.0,200.0,21.0,8.0
9788027913039,2024-04-01 14:55:50,Brněnské Židovky,"['Židé', 'Brno', '14. století', 'Brněnsko']",13.0,85.0,202.0,277.0,78.0,2.0,45.0,104.0,14.0,4.0
9788024289021,2024-04-01 14:55:51,Mezi dvěma ohni,[],15.0,85.0,365.0,461.0,74.0,3.0,22.0,189.0,19.0,2.0
9788027801459,2024-04-01 14:55:53,Válkotvůrci,[],34.0,80.0,292.0,387.0,81.0,8.0,33.0,238.0,7.0,3.0
9788076616721,2024-04-01 14:55:58,Převzetí,"['mafie', 'česká fantasy', 'městská (urban) fantasy', 'gangsteři', 'fantasy', 'kriminální thrillery']",20.0,74.0,51.0,43.0,51.0,5.0,8.0,43.0,3.0,2.0
