DK_isbn,DK_date,DK_titul,DK_tags,DK_Chci_si_koupit,DK_rating,DK_ratings_count,DK_Přečtených,DK_Chystám_se_číst,DK_Právě_čtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Doporučených,DK_dalších_seznamech
9788027515264,2024-04-01 14:55:59,Násilí,"['druhá světová válka (1939–1945)', 'násilí', 'holokaust, holocaust', 'válečné romány', 'historické romány', 'zakázaná láska', 'české romány']",16.0,43.0,8.0,10.0,67.0,1.0,,36.0,,
9788027138166,2024-04-01 14:56:00,Zbabělci a vrazi,"['historické detektivky', 'české detektivky']",10.0,85.0,22.0,26.0,31.0,2.0,7.0,54.0,,
9788027907922,2024-04-01 14:56:02,Zásnubní prsten,"['vraždy', 'stará Praha', 'Jiří Adam z Dobronína, písař', 'Staré Město (Praha)']",18.0,83.0,165.0,236.0,34.0,2.0,65.0,94.0,4.0,1.0
9788027907915,2024-04-01 14:56:03,Z kamene a z vápna,[],4.0,67.0,27.0,30.0,17.0,2.0,5.0,49.0,1.0,
9788027907885,2024-04-01 14:56:04,Smrtící obhajoba,"['detektivní a krimi romány', 'české krimi', 'české detektivky']",1.0,88.0,10.0,13.0,4.0,,,35.0,1.0,
9788027800537,2024-04-01 14:56:05,Azhareida,[],35.0,88.0,34.0,36.0,36.0,1.0,,53.0,3.0,2.0
9788024287478,2024-04-01 14:56:07,Zlé časy,"['alternativní historie', 'cestování časem', 'utopie']",21.0,79.0,35.0,39.0,30.0,,2.0,48.0,4.0,3.0
9788027139927,2024-04-01 14:56:08,Tanec za odpuštění,"['romantika', 'ragby']",26.0,83.0,317.0,388.0,106.0,6.0,19.0,211.0,11.0,9.0
9788075304780,2024-04-01 15:24:17,Dno a bezedno: Německá mystika mezi Eckhartem a Böhmem,['mystika'],3.0,80.0,1.0,1.0,,,,,,
9788076950603,2024-04-01 15:16:09,Tajemství českých a moravských Keltů,[],2.0,100.0,3.0,2.0,6.0,,,27.0,,
9788072852826,2024-04-01 15:16:13,Vzpomínky hlavního architekta Prahy,"['urbanismus, urbanizace']",1.0,80.0,2.0,2.0,6.0,,,2.0,,
9788074763137,2024-04-01 15:16:16,O bolesti: Ernst Jünger – Martin Heidegger – F. J. J. Buytendijk,"['filozofie', 'filozofická antropologie', 'Martin Heidegger, 1889-1976']",,100.0,2.0,2.0,,,,,,
9788090663886,2024-04-01 15:16:22,Nejžhavější sen pod Sluncem,"['fyzika', 'zdroje energie']",1.0,100.0,1.0,1.0,2.0,,,2.0,,
9788090873513,2024-04-01 15:16:25,Pražské příběhy 4,[],8.0,92.0,10.0,13.0,9.0,2.0,5.0,22.0,1.0,1.0
9788075089311,2024-04-01 15:16:34,Jazyky domorodé Ameriky: Historie a současnost,['domorodé kmeny'],3.0,100.0,1.0,1.0,2.0,,,,,
9788073316204,2024-04-01 15:06:18,Historický estetismus: Reprezentace holokaustu v československém a českém hraném filmu 1948,[],,100.0,1.0,1.0,,,,1.0,,1.0
9788024651576,2024-04-01 15:06:19,Zvířata a jejich lidé,"['zvířata, fauna', 'člověk a zvíře']",14.0,80.0,1.0,3.0,38.0,1.0,,3.0,,
9788090724853,2024-04-01 15:06:23,Iveta Bartošová: Neměla jsem se narodit,"['rozhovory', 'populární hudba', 'české zpěvačky', 'Iveta Bartošová, 1966-2014']",7.0,59.0,30.0,48.0,7.0,,4.0,5.0,1.0,
9788024290454,2024-04-01 15:06:26,Magie duchovního života,[],23.0,94.0,10.0,14.0,28.0,10.0,1.0,7.0,1.0,
9788024292090,2024-04-01 15:06:30,Voda na radost,"['psychologie', 'psychoterapie', 'ironie']",7.0,68.0,12.0,15.0,32.0,,3.0,35.0,,
9788086781457,2024-04-01 15:12:45,Česká literatura v čase modernismu,"['20. století', 'česká literatura', 'literární historie, dějiny literatury', 'modernismus', 'konec 19. století']",,100.0,1.0,1.0,1.0,,,,,
9788088630067,2024-04-01 15:12:54,Nohavica a (jeho) naše malá válka,"['životopisy, biografie', '20.-21. století', 'hudebníci, muzikanti', 'písničkáři', 'kultura a politika', 'Jaromír Nohavica, 1953']",15.0,75.0,25.0,37.0,41.0,2.0,8.0,14.0,3.0,2.0
9788011043315,2024-04-01 14:54:37,Sólo pro motýly,[],2.0,80.0,3.0,5.0,3.0,,2.0,1.0,,
9788072279005,2024-04-01 14:54:39,Pasáže,[],1.0,100.0,1.0,1.0,3.0,,,,1.0,
9788090878501,2024-04-01 14:54:40,Vina a trest,[],31.0,89.0,46.0,48.0,35.0,3.0,1.0,9.0,4.0,
9788075686800,2024-04-01 14:54:54,Neobyčejná cesta za poznáním,[],,20.0,1.0,1.0,2.0,,,,,1.0
9788075686619,2024-04-01 14:54:55,Kořist a žold 1396,[],,100.0,2.0,2.0,,,,1.0,,
9788090902343,2024-04-01 15:14:29,David Pastrňák: Démon z Havířova,[],,60.0,1.0,2.0,1.0,1.0,,1.0,1.0,
9788090906402,2024-04-01 15:14:32,V každé chvíli jste mi vzorem,[],2.0,94.0,7.0,8.0,17.0,4.0,1.0,5.0,1.0,
9788024294209,2024-04-01 15:14:43,Zápisky začínajícího solárníka,['solární energie'],1.0,80.0,1.0,1.0,,,,3.0,,
9788027724482,2024-04-01 15:14:45,Václav Neckář: Šíleně veselý princ,[],7.0,92.0,10.0,11.0,9.0,,1.0,3.0,,
9788076960022,2024-04-01 15:14:47,Zbraně pozemních vojsk v rusko,"['zbraně', 'vojenská technika', 'válka na Ukrajině (2022 - )']",1.0,50.0,2.0,2.0,1.0,,,1.0,,
9788075731210,2024-04-01 15:14:49,Velitel palubních mechaniků,"['RAF - britské Královské vojenské letectvo', '311. československá stíhací peruť RAF']",,80.0,1.0,1.0,1.0,,,4.0,,2.0
9788090906204,2024-04-01 15:19:49,Karel,"['Karel Gott, 1939-2019']",1.0,87.0,3.0,3.0,3.0,,,3.0,,
9788076842502,2024-04-01 15:19:53,"Blackout: Co dělat, když nastane","['příručky', 'blackout, výpadek proudu', 'krizové situace', 'přežití']",,100.0,1.0,1.0,,,,,,
9788080906559,2024-04-01 15:19:54,Zemetrasenia: Tragické výzvy v dejinách,"['přírodní katastrofy', 'zemětřesení', 'seismologie']",,80.0,1.0,1.0,1.0,,,,,
9788088495062,2024-04-01 15:19:58,Dačice včera a dnes I.,"['fotografie', 'fotografické publikace', 'Dačice', 'dobové, historické fotografie']",,100.0,1.0,1.0,,,1.0,1.0,,
9788024295145,2024-04-01 15:20:09,Muž pod ledem,"['potápění, potápěči', 'plavání', 'jezera', 'otužování', 'volné potápění (bez dýchacího přístroje)']",,90.0,2.0,2.0,,,1.0,1.0,,
9788076480872,2024-04-01 15:21:10,Modernizace výzbroje československé branné moci ve 30. letech ve fotografii,"['30. léta 20. století', 'modernizace', 'Československá armáda']",,70.0,2.0,1.0,,,,2.0,,
9788027136193,2024-04-01 15:21:11,Projektový management,['management'],3.0,73.0,3.0,4.0,3.0,,2.0,8.0,,
9788088445234,2024-04-01 15:21:23,Země: Opožděný deník z Afghánistánu,"['Afghánistán', 'deníky', 'cestopisy', 'humanitární pomoc', 'války v Afghánistánu', 'každodenní život', 'Člověk v tísni', 'reálie', 'humanitární pracovníci', 'humanitární organizace']",,100.0,2.0,3.0,1.0,,,,,
9788028110390,2024-04-01 15:21:26,Žij svůj sen,[],,70.0,2.0,1.0,,,,,,
9788076455023,2024-04-01 15:21:27,Jazyk a ticho,"['jazykověda, lingvistika', 'mluvený projev, řeč', 'filozofie jazyka', 'jazyk a kultura']",4.0,100.0,3.0,3.0,5.0,,,6.0,1.0,
9788024286907,2024-04-01 15:35:56,Jožka Černý – Můj kamarád Žudro,[],,80.0,1.0,2.0,,,,,,
9788074373978,2024-04-01 15:35:59,České loutkářství,"['loutky', 'loutkové divadlo']",7.0,100.0,1.0,,5.0,,,,,
9788075304124,2024-04-01 15:36:03,Min Tanaka a japonská cesta těla,[],1.0,80.0,1.0,1.0,4.0,,,1.0,,
9788075255006,2024-04-01 15:36:14,Luftwaffe 1935,"['Luftwaffe (Německo)', 'vojenské letectvo']",,55.0,4.0,5.0,1.0,,,6.0,,2.0
9788028001964,2024-04-01 15:36:16,Zápisky z cest 4: Jižní Kavkaz,"['středověk', 'Kavkaz']",,100.0,1.0,1.0,,,,2.0,,
9788024759661,2024-04-01 15:21:52,Auta v Československu 1945,"['auta, automobily']",1.0,100.0,2.0,2.0,,,,4.0,,1.0
9788027152438,2024-04-01 15:21:53,Daňové zákony 2024,[],,100.0,1.0,1.0,,,1.0,,,
9788075255976,2024-04-01 15:21:56,Sluneční soustava,['sluneční soustava'],,100.0,2.0,2.0,,,,1.0,,
9788024657097,2024-04-01 15:22:02,Karel IV.: Evropský císař,"['Karel IV., český král a římský císař', 'panovníci']",5.0,87.0,3.0,4.0,5.0,1.0,,3.0,1.0,1.0
9788074974670,2024-04-01 15:22:11,Stoletá válka 2. díl: Francouzské vítězství,"['14.-15. století', 'války', 'monografie', 'stoletá válka', 'dějiny Francie', 'vojenské dějiny', 'pozdní středověk']",4.0,96.0,10.0,12.0,4.0,,1.0,16.0,3.0,
9788074974526,2024-04-01 15:22:12,Stoletá válka: 1. díl – Francouzské prohry,"['14. století', 'války', 'monografie', 'stoletá válka', 'dějiny Francie', 'vojenské dějiny', 'pozdní středověk']",9.0,97.0,12.0,12.0,9.0,1.0,3.0,20.0,3.0,1.0
9788027150410,2024-04-01 15:22:15,Cvičení s vlastní vahou bez nářadí: 50 tréninkových sestav,[],,90.0,2.0,2.0,1.0,,,,,
9788011036690,2024-04-01 15:22:19,Benátky sv. Jana Nepomuckého: Průvodce památkami českého světce a historie vztahů s Prahou,[],,100.0,1.0,1.0,,,,,,
9788020462725,2024-04-01 15:22:21,Rodičovství jako cesta,['rodičovství'],5.0,100.0,4.0,5.0,9.0,2.0,,1.0,,
9788020462671,2024-04-01 15:22:25,Čemu a proč se smějeme?,[],5.0,80.0,6.0,4.0,23.0,,1.0,2.0,,
9788020462640,2024-04-01 15:22:26,Arytmie v otázkách a odpovědích,['kardiologie'],,100.0,1.0,3.0,,,1.0,,,
9788020033895,2024-04-01 15:04:36,Lágr Rovnost,"['Československo', 'pracovní tábory', 'zločiny komunismu', 'komunistický režim', 'těžba uranu']",4.0,80.0,1.0,2.0,17.0,,1.0,5.0,,1.0
9788011027667,2024-04-01 15:04:56,Na sudetských horách se nezpívá,"['sudetští Němci', 'Jeseníky', 'Sudety', 'Krnov', 'Bruntál', 'hladový pochod, hungermarsch']",5.0,91.0,17.0,21.0,33.0,,3.0,1.0,3.0,1.0
9788027151653,2024-04-01 15:08:10,Dostupný advokát: Jak na běžné právní situace,[],,100.0,2.0,2.0,1.0,,,1.0,,
9788088499084,2024-04-01 15:08:13,Amerika ve válce: USA v letech 1961,"['60. léta 20. století', '70. léta 20. století', 'dějiny USA']",11.0,80.0,2.0,2.0,14.0,,,2.0,,1.0
9788011033620,2024-04-01 15:08:24,Radio 1: Život v éteru,"['paměti, memoáry', 'masmédia (tisk, rozhlas, TV, internet)', 'rozhlasové vysílání']",8.0,100.0,12.0,15.0,11.0,1.0,,7.0,,1.0
9788024290720,2024-04-01 15:08:28,Ze života českých panovníků,[],2.0,100.0,1.0,1.0,3.0,,,,,
9788075303981,2024-04-01 15:01:04,Mé dílo vyšlo u Gallimarda a stálo 69 franků,[],,100.0,3.0,3.0,1.0,,,3.0,,
9788024288550,2024-04-01 15:01:05,Těla,"['rodinné vztahy', 'ze života', 'matky a dcery', 'stárnutí', 'české romány']",78.0,71.0,403.0,498.0,352.0,14.0,63.0,115.0,6.0,5.0
9788090604056,2024-04-01 15:01:07,Milovníkům noci,"['sny', 'identita', 'fakta a mýty']",,80.0,1.0,2.0,1.0,,,,,
9788076509061,2024-04-01 15:01:09,Ndoto,[],6.0,20.0,2.0,4.0,12.0,,1.0,3.0,,
9788076509047,2024-04-01 15:01:11,Tajemství Heavenu: Země z popela,[],3.0,51.0,9.0,8.0,11.0,,2.0,23.0,,
9788027908097,2024-04-01 15:01:14,Sudetský dům II: Podzim 1947,['podle skutečných událostí'],83.0,90.0,487.0,709.0,236.0,28.0,136.0,193.0,39.0,7.0
9788027908066,2024-04-01 15:01:15,Na králův příkaz,[],20.0,91.0,213.0,271.0,42.0,5.0,18.0,115.0,15.0,4.0
9788027907939,2024-04-01 15:01:17,Čekání na vraha,[],2.0,83.0,6.0,10.0,8.0,,,43.0,,1.0
9788027907953,2024-04-01 15:01:18,Ghetto ve stínu zločinu,[],1.0,56.0,5.0,8.0,11.0,,2.0,37.0,,
9788027908011,2024-04-01 15:01:20,Vražedné předsudky,"['detektivní a krimi romány', 'české krimi', 'české detektivky']",2.0,73.0,17.0,24.0,10.0,,2.0,33.0,1.0,1.0
9788027904716,2024-04-01 15:01:21,Pařát smrtky,[],1.0,68.0,8.0,10.0,10.0,2.0,1.0,37.0,,2.0
9788027908103,2024-04-01 15:01:23,Tajemství,"['detektivní a krimi romány', 'tajemství', 'jižní Čechy', 'české krimi', 'české detektivky']",4.0,86.0,35.0,42.0,14.0,2.0,3.0,44.0,4.0,1.0
9788027907991,2024-04-01 15:01:24,Svědectví uloupené dýky,[],7.0,87.0,37.0,47.0,18.0,2.0,4.0,54.0,1.0,1.0
9788027908165,2024-04-01 15:01:26,Sériová vražda,"['detektivní a krimi romány', 'české krimi', 'české detektivky', 'skutečné kriminální případy']",5.0,58.0,9.0,13.0,9.0,,1.0,37.0,,1.0
9788027907908,2024-04-01 15:01:27,Večírek s hořkým koncem,['soukromý detektiv'],2.0,89.0,20.0,23.0,8.0,1.0,1.0,43.0,1.0,1.0
9788027907977,2024-04-01 15:01:29,Možná už zítra,[],18.0,85.0,75.0,82.0,58.0,1.0,3.0,62.0,6.0,2.0
9788090908000,2024-04-01 14:51:32,Jeden o koze...,[],5.0,83.0,6.0,7.0,7.0,,1.0,1.0,1.0,
9788075212160,2024-04-01 14:51:38,Puma M,[],1.0,70.0,8.0,10.0,2.0,,,3.0,,
9788075212214,2024-04-01 14:51:39,Básně,[],3.0,100.0,3.0,2.0,1.0,,,1.0,,
9788075211255,2024-04-01 14:51:41,Návrh,[],2.0,80.0,2.0,3.0,7.0,,,,,
9788076220263,2024-04-01 14:51:42,Stáří je mládím světa,[],,80.0,1.0,1.0,3.0,,,,,
9788027801589,2024-04-01 14:51:45,Magická swingers party,[],34.0,89.0,18.0,28.0,38.0,3.0,2.0,34.0,,1.0
9788088488743,2024-04-01 14:51:47,Kam odcházejí sny,['romantika'],5.0,91.0,11.0,11.0,17.0,1.0,1.0,40.0,,
9788076842373,2024-04-01 14:51:48,Myšlenky z květináče,"['zahrádkářství, zahradničení']",,100.0,2.0,2.0,1.0,,1.0,,,
9788075089502,2024-04-01 14:51:50,Pod křídly Velkého krkavce,"['mytologie', 'Grónsko', 'Sámové (Laponci)', 'Eskymáci, Inuité', 'severské země']",3.0,100.0,2.0,2.0,4.0,1.0,,1.0,,
9788074043673,2024-04-01 15:32:17,Modrá krev: Po stopách českých šlechtických rodů,"['životopisy, biografie', 'rodokmeny', 'Česko, Česká republika', 'šlechtické rody', 'šlechtická sídla', 'zfilmováno – TV seriál']",14.0,94.0,26.0,35.0,23.0,5.0,8.0,26.0,1.0,1.0
9788027135677,2024-04-01 15:32:19,Zdravé hranice úspěchu,[],1.0,80.0,4.0,3.0,2.0,,,,,
9788027139552,2024-04-01 15:32:21,Za sluncem po stopách císařovny Sisi,"['historie, dějiny', 'Habsburkové', 'cestování', 'Orient', 'Sisi, císařovna Alžběta Bavorská, 1837–1898', 'turistika', 'severní Afrika', 'populárně-naučné publikace', 'Středomoří, oblast Středozemního moře', 'jižní Evropa']",12.0,96.0,19.0,16.0,22.0,,3.0,23.0,1.0,1.0
9788024287904,2024-04-01 15:32:22,"Zapomenuté osudy, zločiny a tajemství 2. světové války",['druhá světová válka (1939–1945)'],7.0,80.0,8.0,8.0,9.0,,,2.0,,
9788074024566,2024-04-01 15:32:37,Zločin a písmo,[],,100.0,1.0,1.0,,,,,,
9788076339477,2024-04-01 15:32:41,Příběhy českých alchymistů a mystiků,"['mystici', 'alchymisté']",9.0,93.0,6.0,4.0,11.0,1.0,2.0,7.0,,
9788090893801,2024-04-01 14:47:37,Napsáno perem,[],1.0,80.0,9.0,9.0,7.0,,1.0,30.0,,2.0
9788086631745,2024-04-01 14:47:38,Točoman se dotáčí,"['autobiografické prvky', 'režiséři', 'dokumentaristé']",,100.0,1.0,1.0,,,,,1.0,
9788074565489,2024-04-01 14:47:40,Necrobox,[],10.0,87.0,30.0,33.0,14.0,1.0,,37.0,3.0,
9788011033576,2024-04-01 14:47:41,Sedmá vražda,"['české krimi', 'skutečné kriminální případy']",,80.0,2.0,2.0,,,,,,
9788027606566,2024-04-01 14:47:43,Případ ambiciózního démona,['mýty a legendy'],7.0,75.0,8.0,12.0,21.0,2.0,,41.0,1.0,2.0
9788024653563,2024-04-01 14:47:44,Teorie pohádky: Psychoanalýza Karkulky,"['psychoanalýza', 'význam pohádek a mýtů', 'Červená Karkulka']",1.0,100.0,1.0,1.0,1.0,,,,1.0,
9788090814318,2024-04-01 14:47:45,Rodinu si nevybereš,[],,40.0,2.0,2.0,1.0,,,,,
9788027151981,2024-04-01 14:47:46,Čerti nejsou,[],12.0,88.0,16.0,19.0,19.0,1.0,5.0,31.0,1.0,
9788011035594,2024-04-01 14:47:50,Ztracenné,"['ženy', 'tajemství', 'sebepoznání, sebepoznávání', 'životní styl']",49.0,88.0,72.0,109.0,112.0,14.0,36.0,47.0,14.0,1.0
9788076893146,2024-04-01 14:47:52,Malej princ,"['vesmír', 'přátelství', 'láska', 'pouště', 'Malý princ', 'nářečí, dialekty', 'literární adaptace', 'francouzské pohádky']",2.0,100.0,2.0,2.0,2.0,1.0,1.0,,1.0,
9788027722976,2024-04-01 14:47:54,Prokletá Mimzie,"['romantika', 'mysteriózní, mystéria', 'pro dospívající mládež (young adult)']",19.0,78.0,24.0,27.0,40.0,1.0,4.0,61.0,2.0,1.0
9788020618498,2024-04-01 14:47:55,Den navíc,[],3.0,66.0,6.0,10.0,16.0,,,53.0,,1.0
9788087757260,2024-04-01 14:47:56,Tajemství Křišťálové hory,['zmizení dětí'],1.0,95.0,13.0,13.0,8.0,2.0,,1.0,,1.0
9788074763106,2024-04-01 14:47:57,1492: Dobytí Granady,"['Španělsko', '15. století', 'Granada', 'Isabela Kastilská, 1451-1504', 'Ferdinand II. Aragonský, 1452-1516', 'historické romány', 'české romány', 'Al-Andalus', 'náboženské poměry']",,89.0,9.0,11.0,8.0,,1.0,1.0,3.0,
9788072157099,2024-04-01 14:47:59,Knihy básní,[],3.0,60.0,1.0,2.0,3.0,1.0,,7.0,,
9788026221555,2024-04-01 15:23:55,Den v mateřské škole,['mateřské školy'],,100.0,1.0,1.0,,,,1.0,,
9788027138845,2024-04-01 15:24:10,Zármutek dětí a dospívajících,"['zármutek', 'truchlení']",,100.0,1.0,1.0,2.0,,,,,
9788027151820,2024-04-01 15:05:24,Psychologie pro každý den,[],1.0,80.0,2.0,3.0,8.0,1.0,,6.0,,
9788074009310,2024-04-01 15:05:26,Právní regulace kybernetické bezpečnosti a její meze,[],,80.0,1.0,1.0,,,,,,
9788027134410,2024-04-01 15:05:46,Jíme společně,"['kojenci', 'výživa dětí', 'kuchařky pro děti']",1.0,87.0,6.0,11.0,4.0,4.0,4.0,3.0,,
9788024287539,2024-04-01 14:39:40,Libůstky a neřesti,"['láska', 'mezilidské vztahy', 'české povídky']",8.0,69.0,13.0,17.0,28.0,1.0,4.0,38.0,,2.0
9788072444816,2024-04-01 14:39:41,Město nad městem,[],10.0,83.0,30.0,35.0,49.0,1.0,5.0,35.0,6.0,1.0
9788027801145,2024-04-01 14:39:45,Prázdnota,"['tajemství', 'česká fantastika']",15.0,80.0,58.0,69.0,41.0,1.0,8.0,54.0,4.0,1.0
9788081116148,2024-04-01 14:39:46,Jmenuji se Eva…,"['holokaust, holocaust', 'podle skutečných událostí', 'přeživší holokaustu']",22.0,95.0,35.0,44.0,67.0,1.0,4.0,36.0,2.0,1.0
9788027912919,2024-04-01 14:39:48,Pán hor I,"['18. století', 'Francie', 'romantika', 'ságy', 'historické romány']",33.0,82.0,386.0,611.0,217.0,6.0,50.0,255.0,29.0,7.0
9788027912926,2024-04-01 14:39:49,Pán hor II,"['milostné romány', 'Francie', 'česká literatura', 'historické romány']",15.0,90.0,261.0,446.0,50.0,7.0,15.0,221.0,21.0,5.0
9788076617254,2024-04-01 14:39:51,Síla obsidiánu,"['Praha', 'česká fantasy', 'pro dívky']",11.0,85.0,56.0,71.0,34.0,,6.0,78.0,5.0,5.0
9788026447375,2024-04-01 14:39:52,Skutečné příběhy ze železnice,['železnice'],5.0,84.0,5.0,4.0,11.0,,2.0,5.0,,1.0
9788024288826,2024-04-01 14:39:53,Ve škole i za školou,[],6.0,79.0,44.0,55.0,21.0,,7.0,38.0,2.0,
9788088367307,2024-04-01 14:39:54,Všechno na světě je humor,"['kreslený humor', 'anekdoty, vtipy, fóry', 'absurdní humor']",,100.0,1.0,1.0,,,,,,
9788075884497,2024-04-01 14:39:55,Bastard,"['Vikingové', 'Keltové', 'tajemství', '9. století', 'Bretaň', 'Frankové', 'Karel Veliký, 742-814', 'historické romány', 'Hra o trůny']",12.0,88.0,26.0,28.0,42.0,4.0,5.0,54.0,3.0,
9788075512475,2024-04-01 14:39:56,Temnota,[],6.0,47.0,3.0,2.0,2.0,,1.0,1.0,2.0,
9788075941336,2024-04-01 14:39:57,Fantom,[],15.0,86.0,44.0,53.0,31.0,3.0,2.0,67.0,3.0,1.0
9788020461773,2024-04-01 14:39:59,Obsluhoval jsem anglického krále,"['zfilmováno', '20. století', 'Československo']",39.0,78.0,1749.0,3164.0,311.0,34.0,247.0,502.0,131.0,20.0
9788076017481,2024-04-01 14:40:00,Květy z nahořklého dřeva,[],12.0,93.0,48.0,55.0,18.0,1.0,1.0,22.0,10.0,1.0
9788088467649,2024-04-01 14:40:02,Koloušek,[],38.0,81.0,245.0,355.0,145.0,9.0,37.0,139.0,7.0,4.0
9788024288017,2024-04-01 15:29:33,"Dědečku, vyprávěj: Etiketa pro kluky a holčičky od tří let","['etiketa', 'společenské chování']",14.0,84.0,143.0,194.0,20.0,2.0,13.0,39.0,5.0,6.0
9788024292083,2024-04-01 15:29:35,Zločin a vášně za rady Vacátka: Nové příběhy z pražské Čtyřky,"['kriminalistika', 'první republika, 1918-1938', 'skutečné kriminální případy']",10.0,87.0,22.0,23.0,12.0,,2.0,11.0,2.0,1.0
9788024287140,2024-04-01 15:29:38,Šternberkové,"['aristokracie, šlechta', 'šlechtické rody', 'Šternberkové', 'česká šlechta']",10.0,74.0,13.0,15.0,12.0,,1.0,21.0,1.0,1.0
9788072616008,2024-04-01 15:29:42,Umění neúspěchu,[],1.0,84.0,5.0,6.0,8.0,,1.0,2.0,1.0,
9788076017672,2024-04-01 15:29:48,Srdce napůl,"['lékařské prostředí', 'rozhovory', 'lékařství', 'zdravotnictví', 'zdraví', 'srdce', 'nemoci srdce', 'nemoci dětí, dětské nemoci']",1.0,90.0,2.0,4.0,4.0,,,26.0,,
9788027139019,2024-04-01 15:29:50,Ekonomické jednohubky,[],5.0,88.0,5.0,6.0,11.0,3.0,1.0,3.0,,
9788076841598,2024-04-01 15:29:58,Pavučina minulosti,[],5.0,55.0,8.0,10.0,5.0,,1.0,2.0,1.0,
9788088366348,2024-04-01 15:35:07,Jako bych očima fotografovala stále ty stejné snímky,[],2.0,84.0,9.0,10.0,2.0,,,5.0,1.0,
9788020033512,2024-04-01 15:35:11,"Vzpomínky na Núbii, zmizelou zemi zlata","['Afrika', 'archeologie', 'starověký Egypt', 'Núbie']",11.0,100.0,2.0,4.0,14.0,3.0,1.0,11.0,1.0,2.0
