autorstvo,titul,rok,pocet_stran
,Wyborná Pražská kuchařská kniha,1805,279
"Pacovský, Václav",Knjžka Kuchařská aneb Zřetedlná ponavčenj kterak se rozličné pokrmy gak masyté tak postnj dobře priprawowati aneb strogiti magi,1809,190
"Neudecker, Maria Anna",Baborská Kuchařka w Čechách,1810,192
"Pacovský, Václav",Knjžka Kuchařská aneb Zřetedlná ponavčenj kterak se rozličné pokrmy gak masyté tak postnj dobře připrawowati neb strogiti magj,1811,363
"Neudecker, Maria Anna",Neynowěgssj Kuchařka Pražská neb Kniha uměnj w připrawowánj rozličných krmj a pamlsků gak pro panskau tak pro domácý kuchyň,1816,192
,Hospodářská Pražská Kuchařka,1819,800
"Kuperius, Antonín",Nowá wýborná Knižka Kuchařská aneb Zřetedlná ponavčenj pro panj děwčata a kuchařky kterak rozličné pokrmy gak masyté tak postnj dobře a lacyně připrawowati neb strogiti magj,1821,92
,Pražská kuchařka aneb Co strogiti dnes,1823,430
"Rettigová, Magdalena Dobromila",Domácý Kuchařka aneb Pogednánj o masytých a postnjch pokrmech pro dcerky České a Morawské,1826,154
"Pacovský, Václav",Auplné Uměnj Kuchařské aneb Pochopitedlný poukaz kterak rozličné pokrmy gak masyté tak postnj dobře připrawowatineb strogiti se magj a gichžto poznamenánj posléz stogjcý regstřjk ukáže,1827,274
,Neuestes treffliches Kochbuch oder Leicht faßlicher Unterricht für Frauen Mädchen und Köchinnen wie verschiedene Fleisch- und Fastenspeisen gut und wohlfeil zubereitet und angerichtet werden sollen,1827,90
"Rettigová, Magdalena Dobromila",Domácý Kuchařka aneb Pogednánj o masytých a postnjch pokrmech pro dcerky České a Morawské,1831,308
"Rohrer, Marie Judith",Co hrdlo ráčj neb 500 rozličných pokrmů pochoutek rosolů zawařenin naloženin etc,1831,217
"Rettigová, Magdalena Dobromila",Domácý Kuchařka aneb Pogednánj o masytých a postnjch pokrmech pro dcerky České a Morawské,1837,329
"Rettigová, Magdalena Dobromila",Dobrá rada Slowanským wenkowankám aneb Pogednánj kterak by ony pokrmy sprosté lacině i chutně připrawowati a tak se buď pro budaucj swau domácnost neb pro službu cwičiti mohly,1838,66
"Pacovský, Václav",Knjžka kuchařská aneb Zřetelná ponaučenj kterak se rozličné pokrmy gak masité tak postnj dobře připrawowati neb strogiti magj,1840,186
,Bohabogná Kuchařka kteráž gistému paustewnjku skrze angela předstawená žeby ona gemu w pobožnosti žíwota geho we wssem rowna byla,1841,32
"Špendlíkářová, Anežka",Česká Kuchařka aneb Knjžka wssem i zběhlegssjm kuchařkám prospěssná w které se dočjsti mohau gakby za malý penjz co neylepssj a neyskowostnégssj gjdla se ustrogit dali,1841,64
