autorstvo,titul,rok,pocet_stran
"Rettigová, Magdalena Dobromila",Pogednánj o Telecjm Mase,1843,75
"Pacovský, Václav",Auplné Uměnj Kuchařské aneb Pochopitedlný poukaz kterak se rozličné pokrmy gak masité tak postnj dobře připrawowati neb strogiti magj gichžto poznamenánj posléz stogjcj regstřjk ukáže,1844,193
"Rettigová, Magdalena Dobromila",Domáci kuchařka aneb Pogednánj o masitých a postnjch pokrmech pro dcerky České a Morawské,1844,375
"Rettigová, Magdalena Dobromila",Kafjčko a wsse co ge sladkého,1845,86
,Kuchařka domácj i panská pro děwy wlastenské,1848,161
"Špendlíkářová, Anežka",Česká kuchařka aneb Knjžka wssem i zběhlegssjm kuchařkám prospěssná,1848,64
"Danešová, Budislava",Schopná kuchařka pro malé dívky,1850,64
"Rettigová, Magdalena Dobromila",Die Haus-Köchin oder Eine leichtfaßliche und bewährte Anweisung auf die vortheilhafteste und schmackhafteste Art die Fleisch- und Fastenspeisen zu kochen zu backen und einzumachen,1852,370
"Slavomilská, J.",Co hrdlo ráčj neb 500 rozličných pokrmů pochoutek rosolů zawařenin naloženin atd,1856,217
"Bezstarosti, Ignát",Slušné nakládání s domácím dobytkem a se živočichy vůbec,1856,64
"Rettigová, Magdalena Dobromila",Domácí kuchařka aneb Snadno pochopitelné a wyskoumané poučení kterak se masité i postní pokrmy nejchutnějším způsobem waří pečou a zaděláwají,1857,373
"Pacovský, Václav",Kuchařka česká,1860,191
"Rettigová, Magdalena Dobromila",Domácí kuchařka aneb Snadno pochopitelné a wyskoumané poučení kterak se masité i postní pokrmy nejchutnějším způsobem waří pečou a zaděláwají,1860,375
"Lev, Marie Anna",Nowá česká kuchařka aneb Zkussené a snadno pochopitelné poučenj kterak se na negchutněgssj a na negprospěssněgssj způsob masité a postnj pokrmy wařj pekou a zaděláwagj,1861,90
,Bohabojná kuchařka aneb Utěssené powídky o poustewnících kteří nábožně žiwi jsouce jiným do nebes pomáhali,1862,24
"Rettigová, Magdalena Dobromila",Mala Domácí kuchařka čili Kterak se v malých domácnostech jídla rozličného druhu jednoduchá i oupravnější masitá i postní lacině a chutně připravovati mají,1863,100
"Rettigová, Magdalena Dobromila",Malá kuchařka neboli Dobrá rada jak se díwky buď pro budoucnost nebo pro službu cwičiti mohou,1863,151
"Hansgirgová, Františka",Nová česká kuchařka aneb Navedení ku připravování všelikých pokrmů hodících se pro skrovnou i skvostnější domácnost,1864,237
"Rettigová, Magdalena Dobromila",Domácí kuchařka aneb Snadno pochopitelné a vyskoumané poučení kterak se masité i postní pokrmy nejchutnějším způsobem vaří pečou a zadělávají,1864,417
"Hansgirgová, Františka",Nová česká kuchařka aneb Navedení ku připravování všelikých pokrmů hodících se pro skrovnou i skvostnější domácnost,1866,320
"Vávrová, Karolina",Pražská kuchařka aneb Praktický návod k nejchutnějšímu připravování všelikých druhů jednoduchých a nákladnějších pokrmů masitých moučných a postních jež v každé skrovnější a nádhernější domácnosti se vyskytují,1866,512
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1868,522
"Vávrová, Karolina",Pražská kuchařka aneb Praktický návod k nejchutnějšímu připravování všelikých druhů jednoduchých a nákladnějších pokrmů masitých moučných a postních jež v každé skrovnější a nádhernější domácnosti se vyskytují,1869,512
,Agenda čili Způsob vysluhování křtu svatého svátosti večeře Páně konfirmace oddavků a některých modliteb církevních dle řádu Bratří českých,1869,131
"Fantová, Karolina",Rychlá kuchařka,1870,54
,Zákon daný dne 20 prosince 1869 týkající se volného nakládání s pozemky,1870,266
"Hansgirgová, Františka",Nová česká kuchařka aneb Navedení ku připravování všelikých pokrmů hodících se pro skrovnou i skvostnější domácnosť,1871,455
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a proskoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1872,520
"Hansgirgová, Františka",Malá Nová česká kuchařka,1872,180
"Dobrovolná, Ludmila",Česká kuchařka a hospodyně,1873,334
"Vávrová, Karolina",Pražská kuchařka aneb Praktický návod k nejchutnějšímu připravování všelikých druhů jednoduchých a nákladnějších pokrmů masitých moučných a postních jež v každé skrovnější i nádhernější domácnosti se vyskytují,1873,512
"Zabranská, Vlastimila",Nejnovější česká kuchařka,1873,320
,Všeobecný odborný list Vzorný pivovar,1874,2
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1874,520
"Triwaldová, Gabriela",Nová pražská kuchařka,1877,344
,Český sládek,1878,1
"Svobodová, Julie",Vzorná hospodyně,1879,90
"Hansgirgová, Františka",Nová česká kuchařka aneb Navedení ku připravování všelikých pokrmů hodících se pro skrovnou i skvostnější domácnost,1879,502
,Časopis spolku pro průmysl pivovarský v království Českém,1879,3
"Triwaldová, Gabriela",Česká národní kuchařka,1880,358
,Osudná večeře,1880,84
V. K.,Sbírka nejnovějších receptů z oboru vinařství octářství pivovarství a j,1880,152
"Dumková, Hanna",Úprava jídel zemákových,1880,198
"Vávrová, Karolina",Pražská kuchařka aneb Praktický návod k nejchutnějšímu připravování všelikých druhů jednoduchých a nákladnějších pokrmů masitých moučných a postních jež v každé skrovnější a nádhernější domácnosti se vyskytují,1881,434
"Řehák, Jan Josef",Z mysterií chuti a kuchyně,1882,73
"Dumková, Hanna",Česká kuchařka,1883,636
"Dumková, Hanna",Ovoce užití jeho v domácnosti a kuchyni,1883,270
"Kostelecký, Oldřich S.",Jikrová polévka,1883,38
"Rettigová, Magdalena Dobromila",Domácí Kuchařka čili Snadno pochopitelné a proskoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají kterak se rozmanité moučné a ovocné lahůdky zavařeniny a td připravují kterak se tabule nejnovějším způsobem pokrývají,1883,533
"Špatný, František",Povšechný německo-český slovník kuchařský a hostinský =,1883,128
"Dumková, Hanna",586 jídel z vajec,1884,149
"Vohralík, František",Ovocnářství,1884,73
"Jandouš, Alois",Nauka o způsobu předpisování a skladbě léků v receptech lékařských pro mediky,1885,64
"Dumková, Hanna",Čokoládová jídla a nápoje,1885,46
"Rettigová, Magdalena Dobromila",Malá Domácí Kuchařka čili Kterak se v malých domácnostech jídla rozličného druhu jednoduchá i úpravnější masitá i postní lacině a chutně připravovati mají,1886,127
"Triwaldová, Gabriela",Praktická česká kuchařka pro každou domácnosť,1886,141
"Thuma, Alois",Med a zužitkování jeho v domácnosti v pernikářství a cukrářství,1886,67
,Med potravou a lékem,1886,20
"Lužická, Věnceslava",Jaro života,1886,178
"Dumková, Hanna",Houbová jídla,1887,68
"Lehen, Edward de",Cesta k ráji srdce,1888,354
"Tichá, Božena",Nakládání a zavařování ovoce,1888,38
"Rettigová, Magdalena Dobromila",Domácí Kuchařka čili Snadno pochopitelné a proskoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1888,533
"Suchý, Josef",Josefa Suchého prakticky zkoušené originální předpisy k výrobě studenou cestou všech druhů pálenek likérů krémů specialit francouzské kořalky arraku koňaku vína hořkého octa voňavek olejů a kapek,1889,68
,První česká kniha receptů,1890,246
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1890,533
"Svobodová, Julie",Malá pražská kuchařka,1890,174
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1890,469
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
"Dumková, Hanna",Pro nemocné jídla a nápoje,1890,79
"Dumková, Hanna",Kuchařka v domácnosti české,1890,140
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
"Eckert, Adolf",Zužitkování ovoce,1890,14
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
"Dumková, Hanna",Drůbež jak nejvhodněji a nejlépe upravovati se má,1890,27
,Kuchařstwij,1891,78
"Zucker, Alois",Podmíněné odsouzení,1891,31
,Pivovarnické zprávy,1891,2
,Kuchařská kniha,1891,354
"Vorlíček, Čeněk",Zavařování a zužitkování veškerého ovoce a zeleniny v domácnosti,1891,80
"May, Alois A.",Zeleniny,1891,21
,Med potravou a lékem,1891,32
"Rošický, Václav",Pekařství dle nejnovějších pramenů,1891,98
"Vávrová, Karolina",Pražská kuchařka aneb Praktický návod k nejchutnějšímu připravování všelikých druhů jednoduchých a nákladnějších pokrmů masitých moučných a postních jež v každé skrovnější a nádhernější domácnosti se vyskytují,1891,327
"Kr...vá, J.",Socialistka z kuchyně,1892,16
"Winter, Zikmund",Kuchyně a stůl našich předků,1892,192
,Kuchařská kniha,1892,406
"Vohralík, František",Návod ku zužitkování ovoce,1893,114
"Axamitová, Marie",Česká kuchařka,1894,256
"Svobodová, Marie B.",Kuchařská škola čili Důkladné navedení k samostatnému naučení se vaření a správné hospodárnosti,1894,929
"Triwaldová, Gabriela",Česká národní kuchařka,1894,360
"Fulín, Martin",Konservování ovoce a zelenin,1895,24
,Bonella knížka receptů,1895,13
"Kopal, Petr",Nepečeme,1895,16
,Cukerní list,1895,1
,Kuchařská kniha,1895,470
"Benešová, Milada",Nakládání zavařování a používání ovoce,1895,92
"Kafka, Josef",Mořské ryby na pražském trhu,1895,52
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1895,469
J. K.,Zdravotní kuchařka jakožto doplněk každé jiné kuchařské knihy čili Poučení o hodnotě potravin o jejich stravitelnosti,1896,149
"Svobodová, Julie",Malá Pražská kuchařka,1896,192
"Triwaldová, Gabriela",Praktická česká kuchařka pro každou domácnost,1896,128
"Šváb-Malostranský, Josef",Kuchařka,1896,7
"Vorlíček, Čeněk",Zavařování nakládání a zužitkování veškerého ovoce zeleniny hub a bylin v domácnosti,1897,112
,Kuchařská kniha,1897,469
"Nevečeřel, Richard",Řeč Richarda Nevečeřela proslovená za příčinou jeho kandidatury za poslance do říšské rady v páté všeobecné kurii ve skupině Jihlavské,1897,16
"Sitenský, František Ladislav",Nakládání píce,1899,14
"Moučková, Pavla",Malá kuchařka,1899,114
"Kálal, Jan Václav",Kuchyně pěstitele králíků,1899,62
,Labužník,1899,24
"Šmíd, Leopold František",Básník a kuchařka,1899,7
,Velká illustrovaná kuchařka,1899,732
"Radová, Kamila",Vánoční kuchyně,1900,40
,Zlatá kniha hospodyňky Vitello,1900,97
"Jermářová, Bohumila",Vzorná česká kuchařka,1900,546
"Cardová, Anna",Návod mladým hospodyňkám jak upraviti chutné a levné pokrmy ve skrovných domácnostech nemocnicích obecných kuchyních i jednoduchých měšťanských rodinách,1901,64
"Jůn, Karel",Vyzkoušené recepty na moučníky a čajové pečivo,1901,32
"Dvořák, Jaroslav",Bramborová kuchyně obsah 490 předpisů na úpravu všemož jídel polévek omáček pečiv dortů cukrovinek a pod z bramborů pro velké a malé domácnosti jídelny kuchyně restaurační a hotelové,1901,210
"Veselá, Vlasta",Národní kuchařka pro šetrnou hospodyni,1901,200
"Vlasáková, Julie",Zavařování ovoce nakládání konservování a výroba ovocných vín,1901,155
"Rothová, Olga",Česko-moravská kuchyně,1901,652
"Bezděk, Jan",Houby jedlé a jim podobné jedovaté,1901,225
"Švehla, Josef",Nádobí kuchyně a stolu staročeského,1901,31
"Havránka, Jindřich",Zužitkování ovoce v domácnosti,1902,102
"Šťastná, Josefina",Nejnovější rychlá a praktická česká domácí kuchařka,1902,48
"Komenský, Jan Amos",O hodné přípravě k stolu večeře Páně,1902,16
"Vlasák, Antonín Norbert",Pečení domácího chleba,1902,54
"Šádková, Marie",Zimní kuchyně neb Návod k šetrnosti pro venkovské hospodářství,1902,60
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1902,467
"Štěpánová, Vlasta M.",Malá kuchařka a hospodyňka česká,1903,80
"Štěpánová, Vlasta M.",Storchův praktický návod k zavařování a konservování ovoce i jiných plodin,1903,171
"Cardová, Anna",Návod mladým hospodyňkám jak upraviti chutné a levné pokrmy ve skrovných domácnostech nemocnicích obecných kuchyních i jednoduchých měšťanských rodinách,1903,75
"Jermářová, Bohumila",Velká vzorná česká kuchařka,1903,920
"Rettigová, Magdalena Dobromila",Malá domácí kuchařka čili kterak se v malých domácnostech jídla rozličného druhu jednoduchá i úpravnější masitá i postní lacině a chutně připravovati mají,1903,122
"Vorlíček, Čeněk",Zavařování nakládání a zužitkování veškerého ovoce zeleniny hub a bylin v domácnosti,1903,115
,Nové pekařské zájmy,1903,3
"Kafková, Majdalena",Slovník umění kuchařského,1904,2
"Soukup, Václav",Domácí a cizí nápoje,1904,262
"Soukup, Václav",Saláty a jejich úprava,1904,97
"Dumková, Hanna",Rybí kuchyně,1904,65
"Červinka, Adolf",Z kuchyně starého mládence,1904,54
,Česká kuchařka,1904,200
"Jermářová, Bohumila",Malá vzorná kuchařka,1904,174
"Jermářová, Bohumila",Vzorná česká kuchařka,1904,549
"Soukup, Václav",Rajská jablka či tomaty,1905,12
"Disque, Ludwig",Dietetická kuchyně,1905,176
"Kejřová, Anuše",Úsporná kuchařka,1905,203
,Kuchařská kniha,1905,458
"Malloch, Petr Max",Chansonetta kuchařkou,1905,36
"Bezděk, Jan",Houby jedlé a jim podobné jedovaté,1905,216
"Havránka, Jindřich",Zužitkování zeleniny v domácnosti,1905,54
"Soukup, Václav",Domácí cukrárna,1906,246
"Šváb-Malostranský, Josef",Recept jak získati řádného muže,1906,2
"Bareš, Josef B.",Konservování pokrmů v pokrmových zásobnicích,1906,22
Fringilla,Storchova nejnovější kapesní praktická a rychlá kuchařka pro menší a skrovné domácnosti zejména však pro hospodyňky dělnických domácností,1906,128
,Polévková mísa manželů Brdlinkových,1906,27
"Rytychová, Majolena",Největší nejnovější a nejpraktičtější česká domácí kuchařka a vzorná hospodyňka,1906,473
,Věstník pekařů královského hlavního města Prahy,1906,9
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají,1906,469
"Soukup, Václav",Výživná a zdravá zelinářská kuchyně čili podrobné poučení o zužitkování a upotřebení veškerých druhů zeleniny polní i zahradní v kuchyni,1907,227
"Soukup, Václav",Zelenina zahradní i polní v kuchařských předpisech,1907,227
"Kálal, Jan Václav",Kuchyně králikářů,1907,72
,Med potravou a lékem,1907,44
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili  Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří,1907,469
"Šmíd, Leopold František",Básník a kuchařka,1907,8
"Soukup, Václav",Postní kuchyně,1908,207
"Bareš, Josef",Konservování pokrmů v pokrmových zásobnicích,1908,22
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1908,469
,Hostinský obzor,1908,39
"Špilarová, Matilda",Několik vyzkoušených pokynů k vaření,1909,111
"Kejřová, Anuše",Úsporná kuchařka,1909,222
"Barthová, Ludmila",První česká vegetářská kuchařka,1909,127
"Triwaldová, Gabriela",Praktická česká kuchařka pro každou domácnost,1909,108
"Orlová, Marie",Králikářská kuchyně,1909,47
"Podzimek, Bóža",Z české kuchyně,1909,31
"Soukup, Václav",Lovcova kuchyně,1909,279
"Trachtová, Marie",Kuchařská kniha pro venkovské hospodyně,1909,222
"Šmíd, Leopold František",Básník a kuchařka,1909,5
"Pakosta, Ferdinand",Vaření piva a prodej vína v Pacově,1910,14
"Nejedlá, Marie",Praktická kuchařka pro českou domácnost,1910,352
"Versbachova, A.",Domácí cukrářství,1910,191
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1910,469
"Vorlíček, Čeněk",Zavařování nakládání a zužitkování veškerého ovoce zeleniny hub a bylin v domácnosti,1910,115
"Holubová, Marie",Domácí kuchařka České dívky,1910,109
"Špilarová, Matilda",Sbírka předpisů k vaření,1911,112
"Hindhede, Mikkel",Reformní kuchařka,1911,248
,Kuchyňský kalendář,1911,1
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka čili Snadno pochopitelné a prozkoumané poučení kterak se masité i postní pokrmy všeho druhu nejchutnějším způsobem vaří pekou a zadělávají  kterak se rozmanité moučné a ovocné lahůdky zavařeniny a td připravují kterak se tabule nejnovějším způsobem pokrývají  kromě mnohých jiných užitečných a v domácnosti nevyhnutelně potřebných věcí,1911,469
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1911,469
"Sauvain, Karl",Tragedie katolického faráře v dopisech farské kuchařky,1912,205
"Benešová, Milada",Salátová kuchyně,1912,54
"Neubauerová, Ela",Zavařování sušení nakládání ovoce zeleniny a hub,1912,124
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1912,469
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1912,469
"Seidlová, Anastasie B.",Kuchařka Jitřenky,1912,245
"Kejřová, Anuše",Úsporná kuchařka,1912,222
"Rettigová, Magdalena Dobromila",MD Rettigové Velká kuchařka,1912,1057
"Seidlová, Anastasie B.",Kuchařka Lady,1913,508
"Seidlová, Anastasie B.",Úprava pokrmů pro nemocné cukrovkou,1913,148
"Ebersberg, Ottokar Franz",Farářova kuchařka,1913,122
"Dumková, Hanna",Česká kuchařka,1913,636
,Kuchyně a spižírna,1913,127
"Jermářová, Bohumila",Vzorná česká kuchařka,1913,536
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1913,469
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1913,469
"Táborský, J. K.",České houby jedlé i jedovaté,1913,62
"Seidlová, Anastasie B.",Kuchařka Jitřenky,1914,245
"Štechová, Marie",Kuchařka Marie Štechové,1914,544
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny,1914,258
,Dělnická kuchařka,1914,126
"Kejřová, Anuše",Dělnická kuchařka,1914,96
"Kejřová, Anuše",Úsporná kuchařka,1914,204
"Jermářová, Bohumila",Velká vzorná česká kuchařka,1914,920
"Jermářová, Marie",Česká kuchařka,1914,231
"Rettigová, Magdalena Dobromila",Magdaleny Dobromily Rettigové Domácí kuchařka,1914,469
"Šedivý, Emil",Inserce tajných léčiv a specialit v denních listech,1914,4
"Vávrová, Karolina",Pražská kuchařka aneb Praktický návod ku připravování všelikých druhů jednoduchých a nákladnějších pokrmů masitých moučných postních a pro nemocné jak v každé skromnější i nádhernější domácnosti se vyskytuje,1914,499
"Černá, Růžena",Úprava pokrmů z kukuřičné mouky a krupičky,1915,15
"Seidlová, Anastasie B.",Levné pokrmy a rady v době drahoty a války,1915,36
"Součková, Marie",Válečná kuchařka,1915,77
"Součková, Marie",Válečná kuchařka,1915,88
"Součková-Vosátková, Marie",Vzorná kuchařka,1915,394
"Ammann, David",Mazdaznanská dietetika a kuchařka,1915,219
"Benešová, Milada",Salátová kuchyně,1915,107
"Holnová, Božena",Úsporná kuchyně,1915,48
"Holubová, Marie",Kuchařka České dívky,1915,76
"Jančová, Zdenka",Válečná kuchařka České Domácnosti,1915,64
"Kafka, Josef",Levné obědy a večeře,1915,88
"Kafka, Josef",Levné pokrmy zeleninové,1915,84
"Kafka, Josef",Úsporná výživa hospodářská a zdravotní reforma výživy jídelního lístku vaření a zažívání nejen se zřetelem na nutná obmezení v době války nýbrž i se zřetelem na hospodářské a zdravotní povznesení lidu,1915,75
"Kejřová, Anuše",Úsporná válečná kuchařka,1915,186
,50 kuchařských předpisů se zřením k moučným náhražkům,1915,22
,Kuchyňské zeleninové recepty,1915,16
"Jermářová, Bohumila",Kuchařka v době válečné,1915,174
"Macků, Jan",Houbová kuchyně,1915,32
"Preisová, Hana",Praktická kuchařka,1915,143
,Předpisy o zavařování nakládání a sušení ovoce a zeleniny o přípravě marmelád rosolů a ovocných sýrů o konservování masa a o výrobě lihuprostých ovoc nápojů,1915,24
,Příspěvky k poznání hodnoty obilek ozimých pšenic pěstovaných v král Českém a pečivosti mouk z nich vyrobených,1915,11
"Vondráčková, Růža",Úsporná úprava bramborových pokrmů,1915,36
"Jančová, Zdenka",Válečná kuchařka České Domácnosti,1915,64
"Bubeníček, Josef",Úprava ryb v kuchyni,1916,159
"Seidlová, Anastasie B.",Malá domácnost,1916,71
"Táborský-Rosický, Hugo",Králikářská kuchyně,1916,48
"Ammaun, Friedr.",Mazdaznanská dietetika a kuchařka,1916,164
"Duda, Václav",Sušení zeleniny,1916,29
"Holnová, Božena",Kukuřičné pokrmy v úpravě české i cizí kuchyně,1916,40
"Holnová, Božena",Holandská bramborová mouka Superior a pokrmy k nimž lze jí použíti,1916,20
"Kadlčák, Josef Mnohoslav",Lidové běhy úsporného vaření a bedna varnice či krbovnice,1916,40
"Ocetek, Josef",Večeře veliká,1916,72
,Praktický návod k pečení chleba sušení ovoce a zeleniny pro domácnost i malý průmysl,1916,32
"Rozmarová, Olga Růžena",Vzorná česká kuchyně a domácnost,1916,236
"Sezemská, Marie",Levná lidová kuchařka prostá masa (vegetariánská),1916,144
"Šetlík, Břetislav",Vaření mýdla,1916,1
,Divoké ovoce polní lesní i zahradní a jeho zužitkování v domácnosti,1916,103
"Fořt, Jindřich",Rychlosušárna Progressit fy Janka a sp v Radotíně na sušení ovoce zelenin a jiných zemědělských plodin,1916,2
"Duda, Václav",Sušení zeleniny,1916,29
"Zíbrt, Čeněk",Česká kuchyně za dob nedostatku před sto lety,1917,95
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny,1917,317
"Chmelař, František",Pěstování soje a její použití pro lidovou i vegetariánskou výživu a dietetiku,1917,32
"Černý, Emil",Konservování masa v domácnosti nakládáním do soli láku kyselin a vápna zavařováním uzením suchým i mokrým,1917,48
"Posnerová, Iška",Moučníky po domácku,1917,80
"Slavínová, Milada",Zavařování ovoce bez cukru nakládání do octa a jeho sušení,1917,35
"Štěpánová, Vlasta M.",Praktický návod k zavařování a konservování ovoce i jiných plodin,1918,171
"Kejřová, Anuše",Návod k přípravě pečiva s použitím výrobků Kveta,1918,157
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny,1918,352
"Kadlec, Josef M.",Topení a vaření elektřinou,1918,51
"Dvořák, Jaroslav",Bramborová kuchyně obsah 490 předpisů na úpravu všemož jídel polévek omáček pečiv dortů cukrovinek a pod z bramborů pro velké a malé domácnosti jídelny kuchyně restaurační a hotelové,1918,240
"Posnerová, Iška",Polévky a omáčky,1918,61
"Rettigová, Magdalena Dobromila",Praktická kuchařka,1918,128
,Poučná knížka o zavařování ovoce zeleniny a masa pomocí sklenic a přístrojů značky Weck,1918,52
"Dvořák, Jaroslav",Bramborová kuchyně,1918,240
"Kadlec, Josef M.",Topení a vaření elektřinou,1918,38
"Frič, Alberto Vojtěch",Pařížská kuchyně míru,1919,4
"Bareš, Josef B.",Konservování pokrmů v pokrmových zásobnicích,1919,22
"Bareš, Josef B.",Konservování pokrmů v pokrmových zásobnicích,1919,22
"Kratochvílová, Věnceslava",Úsporná kuchyně,1919,46
"Milota, Albert",Podmíněné odsouzení a propuštění,1919,116
,Praktická kuchyně III,1919,1
"Rytychová, Majolena",Největší nejnovější a nejpraktičtější česká domácí kuchařka a vzorná hospodyňka,1919,398
"Seidlová, Anastasie B.",Kuchařka Jitřenky,1920,394
"Špilarová, Matilda",Sbírka vyzkoušených předpisů k vaření,1920,124
"Benešová, Milada",Nakládání zavařování a používání všeho ovoce i zeleniny,1920,368
"Lhoták, Kamil Josef",Receptura,1920,178
"Oetker, August",Dr Oetkera předpisy pro kuchyni a pro domácnost,1920,80
,Schichtova kuchařka,1920,52
,Schichtova kuchařka,1920,51
,Schichtova kuchařka,1920,51
,Schichtova kuchařka,1920,52
,Schichtova kuchařka,1920,53
,Kuchařská kniha Rex,1920,168
