rok,jmeno,gender,titul
2019.0,Mirek Vostrý,muž,Čarodějnice
2019.0,Romana Rollingerová-Riba,žena,Ke Gogolovi a zpátky
2019.0,Alex Drescher,muž,Tvůrci světů
2019.0,Ivan Fíla,muž,Rytec kamejí
2019.0,Filip Rožek,muž,Gump
2019.0,Igor Malijevský,muž,Otevřený prostor
2019.0,Vratislav Kadlec,muž,Hranice lesa
2019.0,Aleš Palán,muž,Miss exitus
2019.0,Martin Skořepa,muž,Rituál turínského koně
2019.0,Martin Jaroš,muž,Dívka ve tmě
2019.0,Marek Dobrý,muž,Penis nemá uši
2019.0,Iva Tajovská,žena,Hořící nebe
2019.0,Vlasta Malenovská,žena,Procházky nad propastí
2019.0,Josef Moník,muž,Pazdera pláče a jiné povídky
2019.0,Václav Kopta,muž,Prodloužená jízda
2019.0,Michal Jareš,muž,Dějiny české detektivky
2019.0,A Gravensteen,muž,"Pohyby ledu, aneb, Glaciologie pro manipuláty"
2019.0,Ota Kars,muž,Spratci
2019.0,Sandra Pogodová,žena,Hoď se do pogody
2019.0,Lucie Konečná,žena,Vířivka
2019.0,Pepa Rubáš,muž,Laila
2019.0,Jan Stavinoha,muž,Deník parazita
2019.0,Jan Svěrák,muž,Bohemia
2019.0,David Balda,muž,Narušitel
2019.0,Jan Tomeš,muž,Trny v čase
2019.0,Jakub Dotlačil,muž,Až zhasneme
2019.0,Zuzana Strachotová,žena,Devět nocí
2019.0,Martin Němec,muž,Bod tání
2019.0,Hana Pachtová,žena,Život a doba gaunera
2019.0,Melchior Kotnowski,muž,Případ Velikého mistra
2019.0,Adéla Knapová,žena,Předvoj
2019.0,Alexandra Kohoutová,žena,Slova z pekla
2019.0,Marek Otta,muž,Příliš mladej pro život
2019.0,Jan Malinda,muž,Zelenobílá vykrádačka
2019.0,Jiří Grant,muž,Vzdušné zámky
2019.0,Hana Kašáková,žena,Typologie volů
2019.0,Kamil Marcel Hodáček,muž,Až úzko pomyslet
2019.0,Lucie Verrall,žena,Chodivá tráva
2019.0,Jiří Raichl,muž,Tenčí než vlákno pavučiny
2019.0,Jiří Tůma,muž,Obchod s neštěstím
2019.0,Ivo Toman,muž,"Božka, aneb, Když domácnost řídí stroj na průšvihy"
2019.0,Kamila Holásková,žena,Rozinka
2019.0,Jiří Havel,muž,Příběhy půlnočního slunce
2019.0,Mike Perry,neá,Hotel Sen
2019.0,Michaela Škultéty,žena,Život a jiné nesrovnalosti
2020.0,Lucie Addicks,žena,Všem mým filmovým hvězdám
2020.0,Zuzana Kaiserová,žena,Starci života
2020.0,David Šenk,muž,Prázdný svět
2020.0,Emil Hruška,muž,Pohraniční pitaval
2020.0,Robert Macků,muž,Hédonista
2020.0,Aleš Procházka,muž,Každý má svůj Everest
2020.0,Lukáš Csicsely,muž,Nejkrásnější pohřeb Jana Huga
2020.0,Karolína Kvaš,žena,Kamínky po kapsách
2020.0,Eva Hotovcová,žena,Zachariáš a tajemství stříbrných tenisek
2020.0,Lucie Schánělová,žena,Příliv
2020.0,Filip Koryta,muž,Falknov calling
2020.0,Petr Motýl,muž,Příběh pana rytíře Vítka a jeho dcery Anežky
2020.0,Green Scum,muž,Steam
2020.0,Tadeáš Vojtěch Sláma,muž,Plejády
2020.0,Elen An,žena,Ustláno na betonu
2020.0,Lukáš Matějček,muž,Dobrodruh z paneláku
2020.0,Helena Kratochvílová,žena,"Jednou na útěku, vždycky na útěku"
2020.0,Olga Minaříková,žena,Z deníku dočaskářky
2020.0,Ondřej Fibich,muž,Za pověstmi Šumavy
2020.0,Alena Blanářová,žena,Starosti z radosti
2020.0,Martina Čekalová,žena,Město zrady
2020.0,Miroslav Krobot,muž,Nečíst
2020.0,Zuzana Koubková,žena,Zázračný medailon
2020.0,Petra Baštanová,žena,Bezpečně nešťastní
2020.0,Magdalena Mintová,žena,Falešný pohřeb
2020.0,Jindřiška Ptáčková,žena,Pod jabloní
2020.0,Kristina Májová,žena,O ostatních nevím nic
2020.0,Sára Saudková,žena,Ticho
2020.0,Jan Smutný,muž,Mozek génia
2020.0,Magdalena Sodomková,žena,Matematika zločinu
2020.0,Jakub Trpiš,muž,Revoluce
2020.0,Miřenka Čechová,žena,Baletky
2020.0,Anna Beatrix Bártová,žena,Tajemství hradních zdí
2020.0,Petr Bazger,muž,Mediace
2020.0,Ondřej Šír,muž,Lásky ze školního dvora
2020.0,Tereza Macková,žena,Tokyo story
2020.0,Emma Scharkez,žena,Život s vůní lubrikantu
2020.0,Karolína Bendová,žena,Nevěřte Hunterovi
2020.0,Jiří Němčík,muž,Přiznání taxikářů
2020.0,Eva Houserová,žena,Most do záhrobí
2020.0,Barbara Nesvadbová,žena,Iluze
2020.0,Jakub Tvrz,muž,"Kdo nemaká, nežere"
2020.0,Hana Kavurová,žena,Malenčí
2020.0,Václav Láska,muž,Senátor
2020.0,Tomáš Kapras,muž,Hovínko na dortu
2020.0,Jakub Mařík,muž,UTSS Salamis
2020.0,Věra Kudynová,žena,Jenom pro velký holky
2020.0,Karel Hvížďala,muž,Věta jako povolání
2020.0,Vojtěch Bernatský,muž,"Tati, už tam budem?"
2020.0,Natálie Kocábová,žena,Domů
2020.0,Markéta Harasimová,žena,Vánoční návraty
2020.0,Hana Švejnohová,žena,Mrcha jemně uzená
2020.0,Lubomír Kirman,muž,Skok do tmy
2020.0,Michaela Štěchová,žena,Růže z Jericha
2020.0,Richard Popel,muž,Ohledávání času přítomného
2020.0,Matěj Hořava,muž,Mezipřistání
2020.0,Anna Musilová,žena,Nejkrásnější dárek
2020.0,Helena Hrstková,žena,Dovnitř
2020.0,Vojtěch Rauer,muž,Na seně
2020.0,Tereza Límanová,žena,"Drzá, líná, neschopná"
2020.0,Jan Duda,muž,Můj příběh jménem policie
2020.0,Filip Staněk,muž,Křehká struna
2020.0,Marta Fenclová,žena,Hodná.
2020.0,Vladimíra Černajová,žena,Sejdeme se v pět
2020.0,Martina Heš,žena,Tvůrčí restart
2020.0,Petr Sýkora,muž,Sklíněné korálky
2020.0,Lenka Elbe,žena,U Ra No vA
2020.0,Daniel Hradecký,muž,Tři kapitoly
2020.0,Karolina Hošek,žena,Příliš vysoká očekávání
2020.0,Klára Kubíčková,žena,Stíny Vichrovského kláštera
2020.0,Antonín Jirotka,muž,Blues pro žlutého psa
2020.0,Jana Bernášková,žena,Jak přežít svého muže
2020.0,Radka Zadinová,žena,Srdce na prodej
2020.0,Iveta Urešová,žena,Naděje umírá
2020.0,Pavel Soukup,muž,Romantické dřevo
2020.0,Jakuba Katalpa,žena,Zuzanin dech
2020.0,Tereza Kadečková,žena,O dracích a lidech
2020.0,Zuzana Hartmanová,žena,Krysy apokalypsy
2020.0,Michal Sýkora,muž,Nejhorší obavy
2020.0,Marie Formáčková,žena,Přešlé mrazem
2021.0,Ivo Skopal,muž,Vykořenění
2021.0,Petra Macková Hrochová,žena,"Život se psem není pro kočku, aneb, Krušný život městského psa na venkově"
2021.0,Martina Svobodová,žena,Život je šlehané hruškové pyré
2021.0,Josef Káninský,muž,Duše šampionů
2021.0,Antonie Nováková,žena,Být s tebou
2021.0,Štěpán Kučera,muž,Největší lekce dona Quijota
2021.0,Michala Jendruchová,žena,Když není čas na smutek
2021.0,Stanislav Dvořák,neá,Kadanland
2021.0,Oldřich Janeba,muž,Revolvers
2021.0,Tomáš Leidl,muž,Mlha podzimních večerů
