rok,jmeno,gender,titul
2021.0,Lukáš Palán,muž,Surový tvar
2021.0,Leopold Králík,muž,"Milovníci sportu, aneb, Smrt darebáka"
2021.0,Lukáš Zárybnický,muž,Březový háj
2021.0,Aleš Rezek,muž,Sobělživci
2021.0,Lucie Chaya,žena,Moderní kurandera
2021.0,Dita Táborská,žena,Černé jazyky
2021.0,Lidmila Kábrtová,žena,Čekání na spoušť
2021.0,Pavla Horáková,žena,Srdce Evropy
2021.0,Martin Vopěnka,muž,Poslední stanice Hamburk
2021.0,Jarmila Stráníková,žena,Ve stínu války
2021.0,Tereza Hejná,žena,Ztracen v knihách
2021.0,Marie Znamínková,žena,Generace
2021.0,Lenka Teremová,žena,Lady Aradia
2021.0,Irena Dousková,žena,Konec dobrý
2021.0,Jitka Sani,žena,Vánoční let do neznáma
2021.0,Marie Janíčková,žena,Železný klíč
2021.0,Danuše Nerudová,žena,Máme na víc
2021.0,Jan Pavelka,muž,Pašerák srílanských snů
2021.0,k.elkir,muž,'84
2021.0,Jan Hamouz,muž,Třetí ucho
2021.0,Václav Vokolek,muž,Krajiny zjevení
2021.0,Jan Tománek,muž,Archa knih
2021.0,Bára Basiková,žena,"Když skočíš, já taky..."
2021.0,Kateřina Procházková,žena,5. patro bez výtahu
2021.0,Josef Bernard Prokop,muž,František Štěpán Lotrinský
2021.0,Pavel Ctibor,muž,Chystácie
2021.0,Petr Odehnal,muž,Malučký princ
2021.0,Naďa Pischová,žena,Tam
2021.0,Vojtěch Němec,muž,Nekropotence
2021.0,Lenka Sadílková,žena,Nelituju
2021.0,Oskar Fuchs,muž,Pekelný pastýř
2021.0,Oldřich Sobotka,muž,Vražedné léto
2021.0,Pavla Pavlíčková Kovaříková,žena,Rododendron
2021.0,Michaela Mužíková,žena,Vraždy s odstupem
2021.0,Kateřina Dubská,žena,Hendrixova kytara
2021.0,David Lauda,muž,Jednorožec
2021.0,Petr Denk,muž,Anatomie moci
2021.0,Lucie Hrochová,žena,Rozplétání
2021.0,Edgar Dutka,muž,Letní valčíky
2021.0,Martina Leierová,žena,"Tohle město, tahle řeka"
2021.0,Martin Bečan,muž,Hvězdopravec
2021.0,Martina Symerová,žena,Kaleidoskop lásky
2021.0,Veronika Rubínková,žena,Samota Christlhof
2021.0,Tereza Dusová,žena,Zapomenutý ostrov někde v Pacifiku
2021.0,Kristýna Burgerová,žena,Holka od Big Benu
2021.0,Anežka Náhlíková,žena,Můžu se vás dotknout přes plot?
2021.0,Nelly Černohorská,žena,Zlovolné bytosti
2021.0,Sandra Rokosová,žena,"Přišel jsi, když venku pršelo"
2021.0,Lubomír Větříšek,muž,Dva roky v hajzlu
2021.0,Roman Bureš,muž,Planeta idiotů
2021.0,Simona Nečasová,žena,Tajemství ztracené holčičky
2021.0,Klára Aycox,žena,Pech
2021.0,Nela Klasová,žena,Stín z minulosti
2021.0,Anna Šuláková,žena,Fialová
2021.0,Tomáš Třeštík,muž,Po povrchu
2021.0,Dominika Prejdová,žena,Z čeho je den
2021.0,Richard Erml,muž,Libeňský román
2021.0,Zuzana Říhová,žena,Cestou špendlíků nebo jehel
2021.0,Filip Okáč,muž,Bard z Rilanty
2021.0,Martin Váša,muž,Zůstane to v rodině
2021.0,Petr Stančík,muž,"Pravomil, aneb, Ohlušující promlčení"
2021.0,Barbara Semenov,neá,Má říše kupodivů
2021.0,Daniel Hrnčíř,muž,My dva ho nenapsali
2021.0,Jakub König,muž,Vřeteno
2021.0,Marek Skřipský,muž,Strážník z Nového Světa
2021.0,Šárka Vojáčková,žena,Deník jóga matky
2021.0,Tereza Komorousová,žena,Bez zábran
2021.0,Ivan Galambica,muž,Takový hodný chlapec
2021.0,Pavel Houser,muž,Grébovské motyky a další pražské legendy
2021.0,Mikuláš Pešta,muž,Terorista
2021.0,Kateřina Brabcová,žena,Sopka
2021.0,Johana Fundová,žena,"Hezký, ale narovnej se!"
2021.0,Hana D. Lehečková,žena,Poupátka
2021.0,Václav Holanec,muž,Díkůvzdání
2021.0,Václav Jakeš,muž,Nebezpečí z vesmíru
2021.0,Michal Vrba,muž,Zeptej se ďábla
2021.0,Kateřina Cajthamlová,žena,Zázraky jsou logické
2021.0,Martin Michal,muž,Mrtvé oči
2021.0,Kateřina Ševčíková,žena,Přízraky noci
2021.0,Veronika Saforková,žena,Deník šílenství
2021.0,Petra Soukupová,žena,Tenkrát o Vánocích
2021.0,Markéta Lukášková,žena,Majonéza k snídani
2021.0,Martin Uhlíř,muž,Sestry
2021.0,Adriana Wetterová,žena,Nikdy nezapomenu
2021.0,Andrea Stujová,žena,Psaní se nečervená
2021.0,Anna Basiková,žena,Mrak
2021.0,Eva Střihavková,žena,Opička na gumě
2021.0,Simona Paulišinová,žena,Člověk nemůže mít všechno
2021.0,Alžběta Komrsková,žena,Průvodkyně duší
2021.0,Pavla Pešavová,žena,Keltská kněžna
2021.0,Lucie Korcová,žena,Mezi vlky
2021.0,Marek Přibil,muž,Rehabilitace Adama & Evy
2021.0,Jiří Dědič,muž,Útěk
2021.0,Šárka Ferrerová,žena,Mámou
2021.0,Tereza Dočkalová,žena,"Branky, body, kokoti"
2021.0,Alena Ježková,žena,Ruce houslisty
2021.0,Jindřiška Kracíková,žena,"Veselé Vánoce, Kristýno!"
2021.0,Jan Kucin,muž,Koruna snů
2021.0,Libor Machala,muž,Agent s cejchem smrti
2021.0,Milan Krčmář,muž,Případ Toman
2021.0,Miroslav Pech,muž,"Hranice už nejsou, tati"
2021.0,Petra Nesvačilová,žena,Skutečná
2021.0,Lenka Rzepková,žena,Nikdy nezapomeň
2021.0,Petr Neckář,muž,Nebe Nebo
2021.0,Gabriella Smith,žena,Služebná Kessy
2021.0,Lucie Salová,žena,Bez tváře
2021.0,M. A Isaac,žena,Kdo je Ben Camino?
2021.0,Milan Macho,muž,Pohřeb bez nebožtíka
2021.0,Soňa Sirotková,žena,U dvora římského krále Josefa
2021.0,Martina Málková,žena,"Pérka, drátky, kolečka"
2021.0,Eva Hacalová,žena,Můj syn feťák
2021.0,Kristína Hušeková,žena,Než vybledne den
2021.0,Uljana Donátová,žena,Matka s ručením omezeným
2021.0,Theo Addair,muž,Supertajný seznam věcí
2021.0,Jana Pažoutová,žena,Dvojí ortel
2021.0,Aleš Rozehnal,muž,Kdo rozváže pás Orionu
2021.0,Iva Procházková,žena,Doteky zabitých
2021.0,Dalibor Slivinský,muž,Všechny vaše životy
2021.0,Hana Hřebejková,žena,Padesátka v nouzovém stavu
2021.0,René Melichar,muž,"Zákoník mé ženy, aneb, Obyčejné dny"
2021.0,Marian Jelínek,muž,Život na uzdě
2022.0,Veronika Valentová,žena,Meteorit z Mušlovky
2022.0,Veronika Vieweghová,žena,Pod maskou stín
2022.0,Lenka Pastorčáková,žena,Kandidát
2022.0,Václav Votruba,muž,Šumavský Děs: paměti okultní
2022.0,Petr Neužil,muž,V hlavní roli srdce
2022.0,Rudolf Král,muž,Raci v hlavě
2022.0,Jakub Petr Kos,muž,Archanděl
2022.0,Jana Hanušová,žena,Rádio v mrazáku
2022.0,Dan Tržil,muž,Proti proudu
2022.0,Jakub Železný,muž,Kinského zahrada
2022.0,Michal Šefara,muž,Křížová cesta
2022.0,Michaela Dopitová,žena,Křídla vážky
2022.0,Barbora Linke,žena,Srdcem mojí babičky
2022.0,Ivanka Devátá,žena,Gerbešín a hezouni
2022.0,Jindřich Vacek,muž,Tři muži na Titaniku
2022.0,Monika Svoboda,žena,Máma kriminálnice
2022.0,Petra Zhřívalová,žena,Srdeční selhání
2022.0,Viktorie Hanišová,žena,Neděle odpoledne
2022.0,Barbora Vajsejtlová,žena,Vůbec o nic nejde
2022.0,Michaela Moritz,žena,Na křídlech Fénixe
2022.0,Patrik Banga,muž,Skutečná cesta ven
2022.0,Anna Cima,žena,Vzpomínky na úhoře
2022.0,Jaroslav Bálek,muž,Zbabělec
2022.0,Karin Krajčo Babinská,žena,Tsunami
2022.0,Martina Preissová,žena,Mají v nebi skleničky?
2022.0,Luboš Hacala,muž,Máma má alzheimera
2022.0,Natalie A. Rollko,žena,Depiláž
2022.0,Ivana Fajnorová,žena,Emilka
2022.0,Anna Beata Háblová,žena,Směna
2022.0,František Šmehlík,muž,Šelma
2022.0,Radmila Tomšů,žena,Strážci rozhraní
2022.0,Evžen Boček,muž,Aristokratka pod palbou lásky
2022.0,Jan Němec,muž,Liliputin
2022.0,Eva Grestenbergerová,žena,Na divokém venkově
2022.0,Barbora Haplová,žena,Únikové cesty
2022.0,Lenka Parýzková,žena,Sklouzni se v dešti
2022.0,Michal Ježek,muž,Nesnáze českých sexbytostí
2022.0,Hana Skálová,žena,Pravdu mám přece já!
2022.0,Marie Malurková,žena,Bytost rodu
2022.0,Edna Nová,žena,Cynická lovestory
2022.0,Martin Fišer,muž,Vykoupení Černé vlaštovky
2022.0,Alexandra Soldánová,žena,Chci tě slyšet
2022.0,Dana Beranová,žena,Zpěv straky
2022.0,Veronika Jonášová,žena,Ada
2022.0,Josef König,muž,Provazochodci
2022.0,Štěpán Javůrek,muž,Sudetský dům
2022.0,Sam Xabyssus,žena,Vůně inkoustu
2022.0,Vladimír Adam Gdovín,muž,Gdovín?!
2022.0,Petra Slováková,žena,Vzpomínky na zítřek
2022.0,Petr K. Procházka,muž,Stará škola
2022.0,Petra Braunová,žena,Ibka
2022.0,Marie Hajdová,žena,Jeřabinový dům
2022.0,Tomáš Zástěra,muž,Opouštím ostrov
2022.0,Pavlína Čikovská,žena,Kde jsem se tu vzala
2022.0,Tereza Dobiášová,žena,Tisíc let samoty
2022.0,Ondřej Štindl,muž,Tolik popela
2022.0,Pavel Radosta,muž,Ztracen v zemi mamutů
2022.0,Zdeněk Žemlička,muž,Vlčice a královna noci
2022.0,Martin Selner,muž,Uprostřed
2022.0,Žaneta Neužilová,žena,Do skonání věků
2022.0,Aleš Holaň,muž,Helon 2
2022.0,Kristýna Komárková,žena,Znamení koně
2022.0,Naďa Reviláková,žena,Vlajka Viktora Vaňka
2022.0,Jaromír Jindra,muž,Karel IV.
2022.0,Marek Dvořák,muž,Bastard bohů
2022.0,Kateřina Tachovská-Vestman,žena,"Řekni, že jsi Tachovská"
2022.0,Daniel Petr,muž,Odečítání pohybu souřadnic
2022.0,Emma Riedová,žena,Suďte spravedlivě
2022.0,Ladislava Horová,žena,Něco na tom asi bude...
2022.0,Katarína Brányiková,žena,Vysoká
2022.0,Klára Haunerová,žena,Teorie klavíru
2022.0,Nikola Machová,žena,Stella z Kalvendie
2022.0,Václav Bárta,muž,Kozí válka
2022.0,Adam Pýcha,muž,Držet břitvu na tepu doby
2022.0,Vratislav Maňák,muž,Smrt staré Maši
2022.0,Vesna Evans,žena,Sametový domov
2022.0,Jana Švecová,žena,Legenda o Ladě
2022.0,Martina Mátlová,žena,Virtuální realita
2022.0,Ondřej Buddeus,muž,Rozvod šestkrát jinak
2022.0,Martin Rejman,muž,Kruhy na rybníku
2022.0,Jan Folný,muž,Hotel Royal
2022.0,Oldřiška Ciprová,žena,Kateřina z Poděbrad
2022.0,Zbyněk Vičar,muž,Temná rána
2022.0,Josef Veselka,muž,Špitál
2022.0,Hana Zlínská,žena,Černé slzy paní Moschelesové
2022.0,Jiří Mádl,muž,Přitažlivost planety Krypton
2022.0,Lucie Hlavinková,žena,Pravda nebyla k dostání
2022.0,Viktor Špaček,muž,"Čistý, skromný život"
2022.0,Hana Oboda,žena,Dunajský racek
2022.0,Albert Čuba,muž,Ocelové srdce
2022.0,František Mařík,muž,Vždyť hříva tak voní...
2022.0,Vladimír Kolár,muž,Vyhnaní ze života
2022.0,Barbora Šťastná,žena,Samotářky
2022.0,Jan Mrkvička,muž,Agónie
2022.0,Lukáš Havlas,muž,180 stupňů
2022.0,Karin Lednická,žena,Životice
2022.0,Eva Rýznerová,žena,Útěk do Toskánska
2022.0,Aleš Pitzmos,muž,Synchronicita
2022.0,Jiří Kratochvil,muž,Škrtiči bohyně Kálí
2022.0,Josef J. Novotny,muž,HC Faraoni Frýštejn a aljašský démon
2022.0,Alois Kolář,muž,"""Černí baroni"" na Kladensku, aneb, Jak to bylo doopravdy"
2022.0,Barbora Černohlávková Večeřová,žena,"Tanec mezi vejci, aneb, Život s inženýrem"
2022.0,Matěj Dadák,muž,Lovci švábů
2022.0,Ondřej Hübl,muž,Opona
2022.0,Klára Sýkorová,žena,Partnerské přešlapy
2022.0,Martin Müller,muž,Černá rusalka
2022.0,Viktor Zavřel,muž,Pohled přes listy Bódhi
2022.0,Aleš Diviš,muž,Leviar
2022.0,Jan Rupp,muž,V břečťanu
2022.0,Marie Čtyroká,žena,Růžové bludičky
2022.0,Eva Francová,žena,Kolčava
2022.0,Ladislav Vrchovský,muž,Statek
2022.0,Vlasta Dušková,žena,Třinácté okno
2022.0,Petra Jirglová,žena,Nejdražší suvenýr
2022.0,Martina Jelínková,žena,Záchytný bod
2022.0,Erik Decimus,muž,Bezceler
2022.0,Naďa Kverková,žena,Vraždy mezi koly
2022.0,Lenka Chalupová,žena,Páté jablko
2022.0,Klára Wang Tylová,žena,Ostrov duchů
2022.0,Kateřina Tučková,žena,Jedeme na dovolenou
2022.0,Jiří Padevět,muž,1945
2022.0,Andrea Pekárnová,žena,"Na cestě, aneb, (Ne)fádní život věčné optimistky"
2022.0,Eliška Pohnerová,žena,Hladoví
2022.0,Barbora Walterová Benešová,žena,Úřednice z vigvamu
2022.0,Věra Fojtová,žena,Smrt lehkovážné milenky
2022.0,Lukáš Fišer,muž,Cirkus Maximum
2022.0,Lucie Auzká,žena,Dotkni se hvězd
2022.0,Vítězslav Jareš,muž,Holky se čtečkou
2022.0,Michaela Kalivodová,žena,Ořechy na cukroví
2022.0,Pavel Hewlit,muž,Vyvolení stát se popelem
2022.0,Alena Vachtová,žena,Z Madridu do oblak
2022.0,Adam Suchý,muž,Všechno se v dobré obrátí
2022.0,Natálie Soldátová,žena,Pomsta mafie
2022.0,Lenka Šíková,žena,Trojice
2022.0,Lucie Pilátová,žena,Rok (na) draka
2022.0,Dominik Landsman,muž,Híťovo kouzelné dobrodružství
2022.0,Hana Vondráčková,žena,Puberťačka před důchodem
2022.0,Martin Goffa,muž,Vodní hrob
2022.0,Zdeňka Martincová,žena,Maják
2022.0,Otakar Pospíšil,muž,Bezejmenná
2022.0,Přemysl Krejčík,muž,Srab
2022.0,Lucie Vaňková,žena,Putování leklé ryby
2022.0,Tomáš Němec,muž,Život válečníka
2022.0,Zuzana Kultánová,žena,"Zpíváš, jako bys plakala"
2022.0,Camille G,žena,Deníček Camille G
2022.0,Petr Horký,muž,Ukrajina
2022.0,Michael Třeštík,muž,Hodně starej jaguár
2022.0,Nicole Škorpilová,žena,Syndrom neklidných duší
2022.0,Michaela Boho,žena,Za mříží
2022.0,Jan Pavel,muž,Řezníci
2022.0,Pavel Hrdlička,muž,Boží mlýny
2022.0,Bořek Slezáček,muž,Kéž bys tu byla
2022.0,Veronika Valíková,žena,Češtinářky
2022.0,Martin Stručovský,muž,Hříchy otců
2022.0,Jana Mács Magdoňová,žena,Přes Zábradlí k Cimrmanům
2022.0,Karel Šíp,muž,Bavič
2022.0,Anna Sobotková,žena,Josefína na zeleném ostrově
2022.0,Dagmar Užkonečně Šťastná,žena,Za vším hledej ženu
2022.0,Karel Veselý,muž,Kov
2022.0,Daniel Gris,muž,Lars mele maso
2022.0,Alice Horáčková,žena,Rozpůlený dům
2022.0,David Klimeš,muž,Vir
2022.0,Lukáš Boček,muž,Zahrada mrtvých duší
2022.0,Michaela Melicharová,žena,Osamělé povídky
2022.0,Jaromír Štětina,muž,U kanónu stál
2022.0,Jakub Vít,muž,Více než člověk
2022.0,Petra Machová,žena,Krevní msta
2022.0,Jakub Luksch,muž,Čas a jeho loutky
2022.0,Dora Kaprálová,žena,Utrpení a jiné žánry
2022.0,Jiří J. Linhart,muž,Mágové a šarlatáni
2022.0,Miloš Urban,muž,Továrna na maso
2022.0,Karolína Fílová,žena,Přístav
2022.0,Patrick Zandl,muž,Špicl Páně 955
2022.0,Jaroslava Wernerová,žena,"Konzervatoř, aneb..., Student ve vlastní šťávě"
2022.0,Jitka Hloušková,žena,"Díky, Londýne!"
2022.0,Izabela Straková,žena,Říše
2022.0,Michaela Schmiedlová,žena,Druhá šance pro Zoe
2022.0,Julie Borlová,žena,Čarodějka od Jezera bohů
2022.0,Petr S. Pixy,muž,Komtur
2022.0,Marek Epstein,muž,Nerez
2022.0,Josef Fousek,muž,Slečna ze zámku Kozel
2022.0,Barbora Koutná,žena,"Všechno bude dobrý, Beth"
2022.0,Radkin Honzák,muž,Haiku
2022.0,Zuzana Součková,á,"Po schodech nahoru, po čumáku dolů"
2022.0,Ella Trobok,žena,Zaprodaný cit
2022.0,Anna Bolavá,žena,Vypravěč
2022.0,Sára Zeithammerová,žena,Stehy
2023.0,Emilly Ross,žena,Rozcestí osudu
2023.0,Václav Šolc,muž,Nejsem Nikdo
2023.0,Jiří Klečka,muž,Zapomenutá
2023.0,Martin Chadima,muž,Poslední kacíř
2023.0,Alena Adrianet Heinrichová,žena,Slovodějky
2023.0,Jaroslava Černá,žena,Vražedná krása
2023.0,Jan Novák,muž,Striptease Chicago
2023.0,Kateřina Špaček,žena,Sny
2023.0,Jana Jašová,žena,Krutý měsíc
2023.0,Jaroslav Konáš,muž,Město v mlze
2023.0,František Janč,muž,"Vyzývatel, aneb, Tankový pluk pod velením vnuka Josefa Švejka"
2023.0,Jana Kašparová,žena,Tancuj si svůj sen
2023.0,Bianca Bellová,žena,Transfer
2023.0,Alexej Sevruk,muž,Evropanka
2023.0,Petr Brož,muž,"Geostorky, aneb, Lidské osudy ve stínu geověd"
2023.0,Ivana Žáková,žena,Skutečné zločiny v Praze a okolí
2023.0,Markéta Hejkalová,žena,Století na vlnách
2023.0,Zuzana Koukalová,žena,Devatero hádek
2023.0,Jana Poncarová,žena,Nultá hodina
2023.0,Rozálie Pražáková,žena,Koruna strachu
2023.0,Lucie Ortega,žena,Soumrak Edenu
2023.0,Jan Gardner,muž,Devátý neznámý
2023.0,Jarmila Pospíšilová,žena,Palec a tichá voda
2023.0,Magdaléna Bujabéza Rejžková,žena,Přístav
2023.0,Michal Kašpárek,muž,Fosilie
2023.0,Pavlína Křivánková,žena,Chalupa
2023.0,Petr Hugo Šlik,muž,Neplavec
2023.0,Lenka Chlubnová,žena,Studený jaro
2023.0,Hana Pinknerová,žena,Advent ve starém domě
2023.0,Petra Dvořáková,žena,Pláňata
2023.0,Lucie Bechynková,žena,Neodpovídej
2023.0,Alena Chládková,á,Láska v sedmdesátkách
2023.0,Pavel Bareš,muž,Lenochod Jimmy & jeho backup band
2023.0,Magdalena Maxová,žena,Teorie býka
2023.0,Tereza Kučírková,žena,U jedné náušnice
2023.0,Lucie Zvěřová,žena,Za hranicí naděje
2023.0,Leoš Kyša,muž,Sudetenland
2023.0,Radka Denemarková,žena,Čokoládová krev
2023.0,Karel Sychra,muž,Po stopách vesmírných turistů
2023.0,Věra Mertlíková,žena,Bůh lovu
2023.0,Břetislav Ditrych,muž,Jiné sestry
2023.0,Hana Hindráková,žena,Obchodníci s dětmi
2023.0,Lena Valenová,žena,#Najdi mě
2023.0,Josef Doucha,muž,Zlatý klíč k peklu
2023.0,Luboš Hejda,muž,Návrat do Bransonu
2023.0,Denisa Janštová,žena,Padlý vládce nebes
2023.0,Anna Divišová,žena,Bábi Jarka
2023.0,Marek Torčík,muž,Rozložíš paměť
2023.0,Anna Saavedra,žena,Lid nomádů
2023.0,Kristýna Sněgoňová,žena,Krev pro divoženku
2023.0,Zuzana Švédová,žena,Malé tečky světla
2023.0,Jiří Čechal,muž,Továrna na skořápky
2023.0,Petr Šesták,muž,Vyhoření
2023.0,Martin Fahrner,muž,Štěstí
2023.0,Antonín Pelíšek,muž,Dlouhý most
2023.0,N. P,muž,Princezna z nádraží
2023.0,Jitka Ládrová,žena,Němé duše
2023.0,Dominika Hájková,žena,Nezastavuj
2023.0,Jiří Václavíček,muž,Hořkne políbení
2023.0,Filip Mikuš,muž,Výstava chameleonů
2023.0,Radek Váňa,muž,Předpeklí snu
2023.0,Ivana Peroutková,žena,Isabela a žluté útesy
2023.0,Stanislav Beran,muž,Schrödingerův hotel
2023.0,Květoň Zahájský,muž,Tajemné kosočtverce v obilí
2023.0,Tereza Marková,žena,Pomíjivost
2023.0,Jana Musálková Jeckelová,žena,Šalvěj a Meruňka
