DK_isbn,DK_date,DK_titul,DK_rating,DK_ratings_count,DK_tags,DK_Právě_čtených,DK_Přečtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Chystám_se_číst,DK_Chci_si_koupit,DK_dalších_seznamech,DK_Doporučených,DK_autorstvo,DK_vyslo
9788075884619,2024-04-02 10:22:49,Povídky smíchovské,90.0,44.0,"['Praha', 'povídky', 'přelom 19. a 20. století', 'Jan Neruda, 1834-1891', 'Smíchov (Praha)', 'Jakub Arbes', 'arabesky', 'Kinského zahrady']",1.0,59.0,6.0,55.0,49.0,14.0,,1.0,,
9788072278893,2024-04-02 10:22:51,Matka měla ráda třešně,80.0,2.0,[],,2.0,,1.0,,,,,,
9788025740910,2024-04-02 10:22:53,Až ke křížku,87.0,45.0,[],2.0,57.0,7.0,46.0,52.0,10.0,1.0,4.0,,
9788072872770,2024-04-02 10:22:54,Cestou na Bořeň,83.0,6.0,[],,7.0,1.0,3.0,7.0,,,,,
9788075464613,2024-04-02 10:22:56,Kde končí nebe,92.0,147.0,"['přátelství', 'láska', 'zdravotní sestry', 'rodinné vztahy', 'posmrtný život', 'romantika', 'nadpřirozené jevy']",,159.0,5.0,89.0,140.0,43.0,3.0,18.0,,
9788027721405,2024-04-02 10:22:57,V hrůze a krvi zrozeni,69.0,50.0,"['hororové povídky', 'české povídky', 'antologie hororu']",2.0,50.0,6.0,62.0,36.0,16.0,3.0,2.0,,
9788076900387,2024-04-02 10:22:59,Úzkost je rozkoš II/II:  nejsem nebudu nebyl jsem,100.0,2.0,[],,3.0,,7.0,5.0,5.0,,,,
9788024651682,2024-04-02 10:23:00,Na Knížecí/ Horniny/ Ubírati se/ Opovážení/ Z pozůstalosti,80.0,1.0,['sebrané spisy'],,1.0,,1.0,,1.0,,,,
9788090812772,2024-04-02 10:23:01,Stínový profil,80.0,1.0,[],,1.0,,,,,,,,
9788076910058,2024-04-02 10:23:04,Snílkova kavárna aneb příběhy zaslechnuté u cappuccina,82.0,17.0,[],,17.0,2.0,38.0,12.0,6.0,,,,
9788026446965,2024-04-02 10:23:05,Věčně věrný nepřítel,78.0,16.0,['anorexie'],1.0,18.0,1.0,29.0,22.0,7.0,1.0,,,
9788076110809,2024-04-02 10:23:09,Zpověď posledního mnicha,73.0,18.0,"['historické detektivky', 'duchovní, klerici']",1.0,16.0,3.0,28.0,19.0,5.0,1.0,,,
9788076910447,2024-04-02 10:23:12,Povídky ze světa tvůrčího psaní,66.0,3.0,[],,3.0,2.0,,,1.0,,,,
9788026724759,2024-04-02 10:23:14,Proti srsti,80.0,32.0,[],1.0,34.0,8.0,41.0,31.0,8.0,1.0,1.0,,
9788076910980,2024-04-02 10:23:16,Bejvávalo na Šumavě,100.0,2.0,[],,3.0,,4.0,2.0,1.0,,,,
9788076833470,2024-04-02 10:23:17,"Stará, tlustá, blbá 2. opět zasahují",55.0,4.0,[],,7.0,,32.0,8.0,7.0,,2.0,,
9788000070278,2024-04-02 10:23:20,Otazníky detektiva Štiky,93.0,47.0,"['pro děti od 5 let', 'komiksy pro děti', 'Ohníček']",3.0,61.0,5.0,36.0,7.0,4.0,1.0,3.0,,
9788072444793,2024-04-02 10:23:21,Černá sága,85.0,101.0,"['Afrika', '16. století', 'otrokářství']",1.0,144.0,25.0,125.0,34.0,4.0,2.0,12.0,,
9788090856844,2024-04-02 10:23:24,Tetam,80.0,4.0,[],,3.0,,4.0,3.0,,,,,
9788090856837,2024-04-02 10:23:26,Pommes frites,70.0,4.0,[],,4.0,,2.0,,1.0,,,,
9788090856851,2024-04-02 10:23:27,Nepůvodní druhy,93.0,3.0,[],,3.0,,1.0,1.0,2.0,,,,
9788024288383,2024-04-02 10:23:28,Vlkodlak,69.0,9.0,[],,8.0,,27.0,11.0,4.0,1.0,,,
9788088467687,2024-04-02 10:23:33,Biograf láska,74.0,18.0,[],,23.0,3.0,63.0,40.0,9.0,1.0,1.0,,
9788088488392,2024-04-02 10:23:34,Paní jara,87.0,52.0,"['thrillery', 'česká fantasy', 'thrillery pro ženy', 'slovanská mytologie']",2.0,50.0,10.0,74.0,94.0,22.0,5.0,4.0,,
9788075884701,2024-04-02 10:23:35,Strašidlo minulosti,91.0,87.0,"['detektivní a krimi romány', 'české detektivky', 'zmizení lidí', 'nevyřešené případy', 'soukromý detektiv', 'lebky, kosti', 'Kapitán Kid']",1.0,109.0,4.0,71.0,35.0,13.0,,6.0,,
9788090459182,2024-04-02 10:23:38,Ulčákův rok / Ulčák´s Year,100.0,2.0,[],,4.0,1.0,1.0,,,,,,
9788088346234,2024-04-02 10:23:39,Ostravský páter,80.0,21.0,"['upíři', 'vlkodlaci', 'Ostrava', 'česká fantasy', 'městská (urban) fantasy']",2.0,25.0,4.0,13.0,11.0,15.0,,1.0,,
9788027801763,2024-04-02 10:23:40,Markovič: Lovec přízraků,93.0,261.0,"['vraždy', 'kriminalistika', 'sexuální násilí', 'sérioví vrazi', 'skutečné kriminální případy']",17.0,334.0,81.0,153.0,194.0,70.0,6.0,19.0,,
9788025741078,2024-04-02 10:23:42,Rozehraný život,98.0,12.0,"['životopisy, biografie', 'šachy']",,15.0,1.0,7.0,14.0,11.0,,2.0,,
9788073766672,2024-04-02 10:23:43,Pošahaný svět,88.0,5.0,[],,5.0,,,2.0,3.0,,,,
9788072116218,2024-04-02 10:23:46,Vosy v láhvi,89.0,11.0,[],,11.0,3.0,1.0,1.0,1.0,,,,
9788074434907,2024-04-02 10:23:47,Křížeček na čelo,73.0,8.0,[],,9.0,,3.0,3.0,,,,,
9788074434914,2024-04-02 10:23:48,Epocha žárovky,57.0,6.0,[],,6.0,,3.0,,,,,,
9788090856882,2024-04-02 10:23:51,<30,50.0,2.0,[],,2.0,,3.0,3.0,1.0,2.0,,,
9788090809185,2024-04-02 10:23:52,Fotopast,80.0,2.0,[],,2.0,,,1.0,,,,,
9788074434594,2024-04-02 10:23:53,Ledva,100.0,1.0,"['poezie', 'česká poezie']",,1.0,,1.0,1.0,,,,,
9788027139309,2024-04-02 10:23:54,Vzpomínky má každý,78.0,9.0,[],1.0,11.0,,42.0,9.0,2.0,1.0,1.0,,
9788088067856,2024-04-02 10:23:55,Rovnováha,80.0,19.0,['české horory'],3.0,22.0,3.0,34.0,21.0,6.0,2.0,1.0,,
9788090856820,2024-04-02 10:23:57,Haloklina,90.0,2.0,[],,2.0,,1.0,1.0,1.0,,,,
9788024950839,2024-04-02 10:23:58,Životní (s)milníky,80.0,14.0,['romantika'],,19.0,,45.0,29.0,6.0,3.0,,,
