DK_isbn,DK_date,DK_titul,DK_rating,DK_ratings_count,DK_tags,DK_Právě_čtených,DK_Přečtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Chystám_se_číst,DK_Chci_si_koupit,DK_dalších_seznamech,DK_Doporučených,DK_autorstvo,DK_vyslo
9788027713004,2024-04-05 10:39:31,Příběhy filmových fotografií,100.0,4.0,[],,4.0,,1.0,6.0,3.0,,,,
9788024290843,2024-04-05 10:39:33,Symbol Ludvík Svoboda,87.0,3.0,['prezidenti'],,4.0,,18.0,10.0,5.0,1.0,,,
9788024656144,2024-04-05 10:39:50,Temná tvář české literatury: Kolotoč moderny,80.0,1.0,"['česká literatura', 'moderna', 'o české literatuře']",,1.0,,,6.0,2.0,1.0,,,
9788020034663,2024-04-05 10:39:52,Richard Wagner a jeho Židovství v hudbě,80.0,2.0,"['Židé', 'antisemitismus', 'opery a operety', 'názory a postoje', 'Richard Wagner, 1813-1883', 'židovství', 'hudební skladatelé']",,1.0,,,1.0,2.0,,,,
9788027608263,2024-04-05 10:40:00,Šaman ze země mamutů,92.0,5.0,[],,4.0,,27.0,8.0,7.0,,,,
9788076950511,2024-04-05 10:40:02,Nevyřešené záhady Egypta,100.0,1.0,"['Egypt', 'mytologie', 'záhady', 'starověký Egypt']",,1.0,,27.0,6.0,2.0,,,,
9788024294520,2024-04-05 10:40:03,Fotbalová škvára,100.0,1.0,[],1.0,3.0,,,6.0,1.0,,,,
9788024294872,2024-04-05 10:40:04,Liechtensteinové: Pevně a stále,80.0,6.0,"['Morava', 'šlechtické rody', 'Lichtenštejnové (šlechta)', 'Lednicko-valtický areál']",,4.0,,5.0,2.0,1.0,,1.0,,
9788027108398,2024-04-05 10:40:18,Manuál běžce,60.0,2.0,"['běhání, běh']",,4.0,3.0,,1.0,,,,,
9788024649634,2024-04-05 10:40:27,Ne,80.0,1.0,[],1.0,1.0,,3.0,2.0,,,,,
9788074671654,2024-04-05 10:40:28,Gutfreund,80.0,1.0,[],,1.0,,1.0,,,,,,
9788020034656,2024-04-05 10:40:31,V různosti je síla: Exilová nakladatelství Sixty,100.0,1.0,"['exil', 'nakladatelství a vydavatelství']",,1.0,1.0,1.0,4.0,2.0,,1.0,,
9788090902343,2024-04-05 10:40:48,David Pastrňák: Démon z Havířova,60.0,1.0,[],1.0,2.0,,1.0,1.0,,,1.0,,
9788090906402,2024-04-05 10:40:50,V každé chvíli jste mi vzorem,94.0,7.0,[],4.0,8.0,1.0,5.0,17.0,3.0,,1.0,,
9788024294209,2024-04-05 10:41:03,Zápisky začínajícího solárníka,80.0,1.0,['solární energie'],,1.0,,3.0,,1.0,,,,
9788027724482,2024-04-05 10:41:05,Václav Neckář: Šíleně veselý princ,92.0,10.0,[],1.0,11.0,1.0,3.0,9.0,7.0,,,,
9788076960022,2024-04-05 10:41:08,Zbraně pozemních vojsk v rusko,50.0,2.0,"['zbraně', 'vojenská technika', 'válka na Ukrajině (2022 - )']",,2.0,,1.0,1.0,1.0,,,,
9788075731210,2024-04-05 10:41:09,Velitel palubních mechaniků,80.0,1.0,"['RAF - britské Královské vojenské letectvo', '311. československá stíhací peruť RAF']",,1.0,,4.0,1.0,,2.0,,,
9788072815814,2024-04-05 10:41:20,Na život se nečeká,83.0,13.0,[],,19.0,4.0,6.0,20.0,12.0,2.0,1.0,,
9788074226786,2024-04-05 10:41:22,"Hrady doby přemyslovské I: Královské hrady, biskupská sídla, Chebsko",100.0,5.0,"['český středověk', 'hrady a zámky', 'Chebsko']",,6.0,1.0,8.0,3.0,1.0,,,,
9788076772069,2024-04-05 10:41:27,Panenka: Legenda z Ďolíčku,87.0,6.0,[],,9.0,3.0,2.0,3.0,2.0,,1.0,,
9788073766788,2024-04-05 10:41:28,Železná Sparta 130 let (1893–2023),100.0,4.0,[],1.0,4.0,,1.0,1.0,,,1.0,,
9788088244301,2024-04-05 10:41:32,Jarní tradinář: Od ledna do června,80.0,1.0,[],3.0,1.0,,3.0,4.0,1.0,,,,
9788026725862,2024-04-05 10:41:33,Umění vnímat design pro děti a rodiče,100.0,5.0,[],2.0,6.0,,1.0,13.0,3.0,,,,
9788076392014,2024-04-05 10:41:35,Makramé,80.0,1.0,"['tvorba, tvoření', 'vánoční ozdoby a dekorace']",,1.0,,1.0,,1.0,,,,
9788024293592,2024-04-05 10:41:40,151+ nápadů na můj bucket list,93.0,8.0,[],,12.0,3.0,7.0,15.0,8.0,,1.0,,
9788026511908,2024-04-05 10:41:41,Mládí je v hlavě,68.0,8.0,[],,7.0,1.0,40.0,23.0,4.0,,,,
9788090779440,2024-04-05 10:41:45,Až do konce!: Politická publicistika z let 1940–1945,100.0,3.0,[],,2.0,,2.0,1.0,2.0,,1.0,,
9788026450009,2024-04-05 10:42:11,České podsvětí Josefa Klímy,83.0,24.0,"['90. léta 20. století', 'české krimi', 'organizovaný zločin', 'skutečné kriminální případy', 'podle skutečných událostí']",1.0,41.0,8.0,52.0,35.0,8.0,,,,
9788074926914,2024-04-05 10:42:16,Moudrost,100.0,2.0,['moudrost'],,2.0,,3.0,3.0,4.0,,,,
9788088433361,2024-04-05 10:42:23,Zemanovo finále,76.0,5.0,"['21. století', 'Miloš Zeman, 1944-', 'prezidenti', 'česká politika']",,6.0,1.0,9.0,9.0,7.0,,1.0,,
9788088413110,2024-04-05 10:42:27,František z Braníka,75.0,4.0,[],,5.0,1.0,2.0,1.0,,,,,
9788027518210,2024-04-05 10:42:28,Zahrada je pro radost,96.0,5.0,['zahradní architektura'],,7.0,2.0,3.0,5.0,3.0,,,,
9788076950603,2024-04-05 10:42:31,Tajemství českých a moravských Keltů,100.0,3.0,[],,2.0,,28.0,6.0,2.0,,,,
9788072852826,2024-04-05 10:42:35,Vzpomínky hlavního architekta Prahy,80.0,2.0,"['urbanismus, urbanizace']",1.0,2.0,,2.0,5.0,1.0,,,,
9788074763137,2024-04-05 10:42:37,O bolesti: Ernst Jünger – Martin Heidegger – F. J. J. Buytendijk,100.0,2.0,"['filozofie', 'filozofická antropologie', 'Martin Heidegger, 1889-1976']",,2.0,,,,,,,,
9788090663886,2024-04-05 10:42:43,Nejžhavější sen pod Sluncem,100.0,1.0,"['fyzika', 'zdroje energie']",,1.0,,2.0,2.0,1.0,,,,
9788090873513,2024-04-05 10:42:45,Pražské příběhy 4,93.0,11.0,[],2.0,14.0,5.0,22.0,8.0,8.0,1.0,1.0,,
9788075089311,2024-04-05 10:42:54,Jazyky domorodé Ameriky: Historie a současnost,100.0,1.0,['domorodé kmeny'],,1.0,,,2.0,3.0,,,,
9788026449850,2024-04-05 10:42:58,Toulání po pražcích,100.0,3.0,"['železnice', 'železniční tratě', 'železniční doprava']",,4.0,2.0,1.0,1.0,,,,,
9788088121800,2024-04-05 10:43:00,Starý Plzenec na historických pohlednicích,80.0,1.0,"['dobové, historické pohlednice', 'Starý Plzenec']",,1.0,1.0,1.0,,,,,,
9788073784966,2024-04-05 10:43:02,Science Communication: Úvod do komunikace vědy,84.0,5.0,[],1.0,5.0,,1.0,6.0,2.0,,1.0,,
9788090818323,2024-04-05 10:43:03,Kapela Premier: Kompletní příběh,80.0,1.0,[],,1.0,1.0,,1.0,,,,,
9788088268772,2024-04-05 10:43:12,Dekáda naplno: Kniha proměn české populární hudby 90. let 20. století,100.0,4.0,[],1.0,5.0,,3.0,7.0,5.0,1.0,,,
9788075731234,2024-04-05 10:43:14,Četnické pátrací stanice: Od Četnických humoresek ke skutečnosti,100.0,2.0,['četnictvo'],,2.0,,1.0,2.0,1.0,,,,
9788075731227,2024-04-05 10:43:16,Svědectví letových zápisníků,60.0,2.0,[],,2.0,,1.0,,,1.0,,,
9788088412229,2024-04-05 10:43:22,Pardubický kraj: Objektivem mezi nebem a zemí,100.0,1.0,"['fotografování', 'cestování', 'fotografie', 'fotografické publikace', 'fotografové', 'východní Čechy', 'Pardubicko', 'Pardubice', 'drony', 'letecké fotografie']",,1.0,,,,,,,,
9788070101940,2024-04-05 10:43:23,Myslet filmem / Thinking Through Film,80.0,1.0,[],,3.0,,1.0,1.0,,,,,
9788088268789,2024-04-05 10:43:24,Future ON!,33.0,3.0,[],,5.0,,,12.0,2.0,,1.0,,
9788090907706,2024-04-05 10:43:26,"Bůh je mrtev, nic není dovoleno",88.0,18.0,"['eseje', 'filozofie', 'rozhovory', 'filozofie kultury', 'západní civilizace', 'filozofická antropologie', 'myšlení', 'člověk a společnost', 'tělo']",2.0,21.0,1.0,17.0,69.0,32.0,,4.0,,
9788075640901,2024-04-05 10:43:29,Nahoře nad mraky září slunce vždycky,100.0,1.0,[],,3.0,,1.0,4.0,4.0,,1.0,,
9788076893214,2024-04-05 10:43:35,"Baseball – Malá země, velké sny",90.0,2.0,['baseball'],,3.0,1.0,1.0,3.0,,1.0,,,
9788026220657,2024-04-05 10:43:36,Skryté příčiny duševních strastí: Psychoterapie do kapsy,93.0,6.0,"['psychoterapie', 'sebepoznání, sebepoznávání', 'příručky', 'rozvoj osobnosti, osobní rozvoj', 'duševní poruchy, duševní nemoci', 'psychická bolest']",2.0,7.0,,2.0,12.0,5.0,,,,
9788027139712,2024-04-05 10:43:46,Po kom to slovo je aneb eponyma v medicíně,80.0,1.0,"['nemoci', 'dějiny lékařství']",,1.0,,,3.0,1.0,,,,
9788088030805,2024-04-05 10:43:49,Důvěrná zpráva o Janu Žižkovi z Trocnova,68.0,5.0,"['husité', 'Jan Žižka', 'fakta a mýty']",,5.0,1.0,1.0,6.0,4.0,,1.0,,
9788074763168,2024-04-05 10:43:54,K čemu básníci?,100.0,1.0,"['filozofie', 'poezie', 'česká poezie', 'Jan Zahradníček, 1905-1960', 'Bohuslav Reynek, 1892-1971']",,1.0,,,1.0,,,,,
9788074852800,2024-04-05 10:43:55,Politika pro každého,80.0,2.0,[],,2.0,1.0,1.0,7.0,1.0,,,,
9788020033994,2024-04-05 10:43:57,"Fenomén Velká kotlina 2: Geodiverzita, biodiverzita, ochrana přírody",100.0,1.0,[],,1.0,,,4.0,3.0,,,,
9788088506133,2024-04-05 10:43:59,Hematologie v kostce,100.0,4.0,['hematologie'],,4.0,,,1.0,,,1.0,,
9788090906211,2024-04-05 10:44:02,Zakarpatí: České a slovenské stopy v záhadném kraji Ukrajiny,60.0,1.0,"['Ukrajina', 'Podkarpatská Rus', 'Zakarpatská Ukrajina']",,2.0,1.0,1.0,,2.0,,,,
9788088421047,2024-04-05 10:44:04,"Pražské hřbitovy, pohřebiště a sepulkrální památky",90.0,2.0,"['Praha', 'hřbitovy', 'pohřebiště', 'pražské hřbitovy', 'sepulkrální památky']",,2.0,,1.0,4.0,1.0,,1.0,,
9788076767447,2024-04-05 10:44:09,Dohoda o vině a trestu,60.0,1.0,"['monografie', 'trestní právo']",,1.0,,,,,,,,
9788088406686,2024-04-05 10:44:10,Už budeš?,75.0,4.0,[],1.0,5.0,,1.0,8.0,5.0,,,,
9788088406693,2024-04-05 10:44:12,Vladimír Šmicer: Můj druhý život,50.0,6.0,[],1.0,5.0,1.0,3.0,2.0,,,,,
9788075885593,2024-04-05 10:44:14,Mudroprdy,81.0,15.0,"['vesmír', 'humor', 'věda', 'poznání', 'zajímavosti', 'vesmír pro děti', 'věda pro děti']",1.0,14.0,2.0,3.0,17.0,7.0,,1.0,,
9788088429937,2024-04-05 10:44:19,Duševní zdraví ve škole,40.0,1.0,"['škola', 'psychohygiena', 'duševní zdraví']",,1.0,,,,,,,,
9788027138265,2024-04-05 10:44:22,Pes v umění,87.0,3.0,['psi'],,3.0,,,3.0,1.0,1.0,,,
9788024749631,2024-04-05 10:44:24,Přírodní koupací jezírka,90.0,2.0,[],1.0,2.0,,,1.0,1.0,,,,
9788076911857,2024-04-05 10:44:32,Školákův průvodce školou aneb Proč to po nás chtějí?,47.0,3.0,[],,4.0,,1.0,11.0,3.0,,,,
9788026450528,2024-04-05 10:44:33,Roma boy,50.0,2.0,"['životopisy, biografie', 'populární hudba', 'hudebníci, muzikanti']",,2.0,,1.0,1.0,,,,,
9788076625402,2024-04-05 10:44:34,Nezapomeň: Příběhy Paměti národa,60.0,1.0,"['20. století', 'Československo', 'zločiny komunismu']",2.0,3.0,2.0,,3.0,,,,,
9788076019003,2024-04-05 10:44:36,Posvícení a hody v Čechách a na Moravě,87.0,3.0,"['tradice', 'církevní slavnosti', 'kulturní historie', 'slavnosti']",,4.0,,2.0,7.0,2.0,,,,
9788076291133,2024-04-05 10:44:54,Andělem nikdo z nás není: Blízcí Boženy Němcové a Karoliny Světlé,60.0,3.0,"['19. století', 'české dějiny', 'národní obrození', 'pátrání v minulosti', 'čeští spisovatelé', 'české osobnosti']",,3.0,1.0,1.0,7.0,3.0,,,,
9788090902305,2024-04-05 10:44:55,To mám tak ráda: Marie Rottrová,50.0,2.0,['české zpěvačky'],,3.0,1.0,,,,,,,
9788027151585,2024-04-05 10:44:58,Tajemství Karlova mostu,90.0,8.0,"['Praha', 'mosty', 'Karlův most (Praha)']",,12.0,4.0,5.0,26.0,11.0,3.0,,,
9788075665157,2024-04-05 10:45:01,Advent ve starém domě,92.0,5.0,"['Vánoce', 'náboženství', 'advent', 'ženská spiritualita']",,6.0,3.0,1.0,5.0,2.0,1.0,,,
9788024294834,2024-04-05 10:45:03,Londýnské rozhlasové komentáře Františka Moravce: Mluví důstojník ministerstva národní obrany,100.0,1.0,"['druhý odboj', 'generálové']",,1.0,,,3.0,,,,,
9788020034144,2024-04-05 10:45:08,Vězeň na útěku,100.0,1.0,"['vězení, věznice', 'vězni', 'útěky z vězení']",,2.0,,3.0,16.0,8.0,1.0,,,
9788074974809,2024-04-05 10:45:09,Třebíč mystická,100.0,1.0,"['mystika', 'Třebíč']",1.0,1.0,,,,,,,,
9788074974816,2024-04-05 10:45:12,Napoleon Bonaparte,40.0,6.0,"['Napoleon Bonaparte, císař, 1769–1821', 'vojevůdci']",,6.0,,1.0,2.0,,,,,
9788088445210,2024-04-05 10:45:13,10 000 kroků,40.0,5.0,[],,5.0,1.0,,2.0,,,,,
9788088495116,2024-04-05 10:45:14,Jihlava včera a dnes III,100.0,3.0,['Jihlava'],,3.0,2.0,3.0,,,,,,
9788088395232,2024-04-05 10:45:15,Praktikum: Jóga a jógová terapie,60.0,1.0,[],,1.0,,1.0,,,,,,
9788075538857,2024-04-05 10:45:26,Žižkov,60.0,2.0,['Žižkov'],,,,,,1.0,,,,
9788090906204,2024-04-05 10:45:37,Karel,87.0,3.0,"['Karel Gott, 1939-2019']",,3.0,,3.0,3.0,1.0,,,,
9788076842502,2024-04-05 10:45:41,"Blackout: Co dělat, když nastane",100.0,1.0,"['příručky', 'blackout, výpadek proudu', 'krizové situace', 'přežití']",,1.0,,,,,,,,
9788080906559,2024-04-05 10:45:42,Zemetrasenia: Tragické výzvy v dejinách,80.0,1.0,"['přírodní katastrofy', 'zemětřesení', 'seismologie']",,1.0,,,1.0,,,,,
9788088495062,2024-04-05 10:45:46,Dačice včera a dnes I.,100.0,1.0,"['fotografie', 'fotografické publikace', 'Dačice', 'dobové, historické fotografie']",,1.0,1.0,1.0,,,,,,
9788024295145,2024-04-05 10:45:56,Muž pod ledem,90.0,2.0,"['potápění, potápěči', 'plavání', 'jezera', 'otužování', 'volné potápění (bez dýchacího přístroje)']",,2.0,1.0,1.0,,,,,,
9788074763304,2024-04-05 10:45:59,Signály ze vzdálené hlásky,20.0,1.0,[],,1.0,,1.0,,,,,,
9788088446057,2024-04-05 10:46:01,Nepohodlná sestra modernizace. Památková péče a vltavská kaskáda vodních děl,80.0,1.0,[],,1.0,,2.0,,,,,,
9788090830219,2024-04-05 10:46:14,Přerovnáno I: příběhy přerovských strážníků,88.0,5.0,[],1.0,7.0,2.0,2.0,1.0,1.0,,1.0,,
9788024649757,2024-04-05 10:46:38,Novináři ve stranické linii: Řízení regionálního tisku v Československu v letech 1948–1956 na příkladu libereckého regionu,100.0,1.0,"['40.-50. léta 20. století', 'KSČ', 'Liberecko', 'tisk']",,1.0,,,,,,,,
9788011037154,2024-04-05 10:46:44,Budoucnost (ne)práce,82.0,10.0,['umělá inteligence'],14.0,17.0,4.0,14.0,45.0,21.0,,2.0,,
9788024296319,2024-04-05 10:46:50,Šampion Patrik Kincl,74.0,7.0,[],3.0,10.0,2.0,4.0,3.0,2.0,,,,
9788090892828,2024-04-05 10:46:51,Pokáčovo zpěvník II.,80.0,1.0,['zpěvníky'],,1.0,,,,,,,,
9788076480872,2024-04-05 10:46:59,Modernizace výzbroje československé branné moci ve 30. letech ve fotografii,70.0,2.0,"['30. léta 20. století', 'modernizace', 'Československá armáda']",,1.0,,2.0,,,,,,
9788027136193,2024-04-05 10:47:00,Projektový management,73.0,3.0,['management'],,4.0,2.0,8.0,3.0,3.0,,,,
9788088445234,2024-04-05 10:47:14,Země: Opožděný deník z Afghánistánu,100.0,2.0,"['Afghánistán', 'deníky', 'cestopisy', 'humanitární pomoc', 'války v Afghánistánu', 'každodenní život', 'Člověk v tísni', 'reálie', 'humanitární pracovníci', 'humanitární organizace']",,3.0,,,1.0,,,,,
9788028110390,2024-04-05 10:47:16,Žij svůj sen,70.0,2.0,[],,2.0,,,,,,,,
9788076455023,2024-04-05 10:47:18,Jazyk a ticho,100.0,3.0,"['jazykověda, lingvistika', 'mluvený projev, řeč', 'filozofie jazyka', 'jazyk a kultura']",,3.0,,6.0,5.0,4.0,,1.0,,
9788027801565,2024-04-05 10:47:19,"Přemysl Bičovský: Kanonýr, kapitán, fotbalista",100.0,2.0,[],,3.0,,,1.0,,,,,
9788024759661,2024-04-05 10:47:45,Auta v Československu 1945,100.0,2.0,"['auta, automobily']",,2.0,,4.0,,1.0,1.0,,,
9788027152438,2024-04-05 10:47:46,Daňové zákony 2024,100.0,1.0,[],,1.0,1.0,,,,,,,
9788075255976,2024-04-05 10:47:50,Sluneční soustava,100.0,2.0,['sluneční soustava'],,2.0,,1.0,,,,,,
9788024657097,2024-04-05 10:47:57,Karel IV.: Evropský císař,87.0,3.0,"['Karel IV., český král a římský císař', 'panovníci']",1.0,4.0,,3.0,5.0,5.0,1.0,1.0,,
9788074974670,2024-04-05 10:48:07,Stoletá válka 2. díl: Francouzské vítězství,96.0,10.0,"['14.-15. století', 'války', 'monografie', 'stoletá válka', 'dějiny Francie', 'vojenské dějiny', 'pozdní středověk']",,13.0,1.0,17.0,3.0,4.0,,3.0,,
9788074974526,2024-04-05 10:48:08,Stoletá válka: 1. díl – Francouzské prohry,97.0,12.0,"['14. století', 'války', 'monografie', 'stoletá válka', 'dějiny Francie', 'vojenské dějiny', 'pozdní středověk']",1.0,12.0,3.0,20.0,8.0,9.0,1.0,3.0,,
9788027150410,2024-04-05 10:48:12,Cvičení s vlastní vahou bez nářadí: 50 tréninkových sestav,90.0,2.0,[],,2.0,,,1.0,,,,,
9788011036690,2024-04-05 10:48:16,Benátky sv. Jana Nepomuckého: Průvodce památkami českého světce a historie vztahů s Prahou,100.0,1.0,[],,1.0,,,,,,,,
9788020462725,2024-04-05 10:48:19,Rodičovství jako cesta,100.0,4.0,['rodičovství'],2.0,5.0,,1.0,9.0,5.0,,,,
9788020462671,2024-04-05 10:48:23,Čemu a proč se smějeme?,80.0,6.0,[],,4.0,1.0,2.0,23.0,5.0,,,,
9788020462640,2024-04-05 10:48:24,Arytmie v otázkách a odpovědích,100.0,1.0,['kardiologie'],,3.0,1.0,,,,,,,
9788090880115,2024-04-05 10:48:41,Zcela legální daňové triky 2024,80.0,1.0,['rok 2024'],,1.0,1.0,,,,,,,
9788076940284,2024-04-05 10:48:47,Karel Klostermann a zrod Šumavy,100.0,2.0,[],2.0,2.0,,3.0,2.0,1.0,,1.0,,
9788074656194,2024-04-05 10:48:58,Fake news a politika klasického Řecka,100.0,1.0,[],,,,1.0,1.0,,,1.0,,
9788074656132,2024-04-05 10:48:59,Malý velký Koloredov,100.0,1.0,[],,1.0,1.0,,,,,,,
9788087572719,2024-04-05 10:49:02,Pražské ptactvo 1800–2020: Ptáci – město – příběh hrdiny,100.0,1.0,"['ptáci, ptactvo']",1.0,1.0,,1.0,6.0,4.0,,,,
9788025743256,2024-04-05 10:49:03,"Svatby: Tradice, zvyky a výzdoba pro svatební den",40.0,3.0,['svatba'],,3.0,,,7.0,6.0,,,,
9788087259597,2024-04-05 10:49:07,Smrt umělce: Ať žijí pomocnice!,100.0,2.0,[],,3.0,1.0,2.0,5.0,2.0,,,,
9788072157150,2024-04-05 10:49:19,Album 1958,100.0,1.0,[],,1.0,,,,,,1.0,,
9788026451273,2024-04-05 10:49:24,Skutečné zločiny na Ostravsku 2,96.0,11.0,['Ostravsko'],6.0,11.0,2.0,37.0,24.0,13.0,,1.0,,
9788026221555,2024-04-05 10:50:02,Den v mateřské škole,100.0,1.0,['mateřské školy'],,1.0,,1.0,,,,,,
9788027138845,2024-04-05 10:50:16,Zármutek dětí a dospívajících,100.0,1.0,"['zármutek', 'truchlení']",,1.0,,,2.0,,,,,
9788075304780,2024-04-05 10:50:24,Dno a bezedno: Německá mystika mezi Eckhartem a Böhmem,80.0,1.0,['mystika'],,1.0,,,,3.0,,,,
9788027801619,2024-04-05 10:50:56,Milan Malý,100.0,1.0,[],,1.0,,3.0,,,2.0,1.0,,
9788088339168,2024-04-05 10:51:04,Opevnění měst středověké Evropy,100.0,2.0,"['středověká města', 'městské hradby a opevnění']",,1.0,,1.0,,,,1.0,,
9788020617033,2024-04-05 10:51:07,Za Heydrichem stín,98.0,12.0,"['Reinhard Heydrich', 'gestapo', 'heydrichiáda', 'Jozef Gabčík, 1912–1942', 'operace Anthropoid', 'protektorát Čechy a Morava', 'atentát na Heydricha']",,15.0,2.0,10.0,23.0,14.0,,2.0,,
9788024712642,2024-04-05 10:51:21,Záliby císařovny Sisi,93.0,6.0,"['Sisi, císařovna Alžběta Bavorská, 1837–1898', 'Rakousko-Uhersko', 'císařovny']",1.0,6.0,3.0,3.0,12.0,7.0,,2.0,,
9788088378310,2024-04-05 10:51:37,Skica jako prvotní vizualizace myšlenky: Kdy nejčastěji skicujete? Když se nic neděje.,100.0,1.0,['vizualizace'],,1.0,,,1.0,,,,,
9788020462763,2024-04-05 10:51:43,Noci a dny na Karlštejně,100.0,1.0,"['Karlštejn', 'kasteláni']",,1.0,1.0,,1.0,,,,,
9788027152636,2024-04-05 10:51:56,"Za kamna vlezem ... aneb Hrst pranostik, povídání o tradicích a osvědčené babiččiny recepty",80.0,1.0,[],,1.0,,1.0,1.0,5.0,,,,
9788074974731,2024-04-05 10:52:03,"Do zbraně, občané!: Francouzská revoluce 1 (1789–1794)",90.0,2.0,"['Velká francouzská revoluce (1789-1799)', 'bitvy']",1.0,2.0,,6.0,3.0,7.0,,,,
9788088436126,2024-04-05 10:52:20,Jak přežít násilný útok,100.0,1.0,['terorismus'],,1.0,,,,,,,,
9788024648484,2024-04-05 10:52:29,Amerika v proměnách staletí,80.0,7.0,[],,11.0,,6.0,3.0,5.0,,1.0,,
9788075731289,2024-04-05 10:54:55,Navzdory všem překážkám,70.0,2.0,[],,2.0,,1.0,,,,1.0,,
9788076480711,2024-04-05 10:54:59,Siebel Si 204 / Aero C,100.0,1.0,[],,1.0,,,,,,,,
9788011032326,2024-04-05 10:55:02,Drátem do oka,88.0,5.0,"['deprese', 'autobiografie', 'myšlenky na sebevraždu']",,6.0,1.0,,7.0,1.0,,,,
9788088073918,2024-04-05 10:55:06,Primátoři svobodných let 1989,20.0,1.0,[],,1.0,,,,,,,,
9788025743393,2024-04-05 10:55:37,Sidonie Nádherná a konec střední Evropy,90.0,123.0,"['životopisy, biografie', 'aristokracie, šlechta', 'rozhlasové zpracování', 'osudy žen', 'střední Evropa', 'Sidonie Nádherná z Borutína, 1885-1950', 'česká šlechta']",3.0,157.0,20.0,35.0,119.0,25.0,2.0,12.0,,
9788074229411,2024-04-05 10:55:38,Dějiny Mosambiku,92.0,5.0,"['dějiny národů a států', 'dějiny Afriky', 'Mosambik']",,5.0,,22.0,11.0,10.0,2.0,,,
9788027722693,2024-04-05 10:55:43,Čtyři ženy Karla IV.,85.0,21.0,"['Karel IV., český král a římský císař', 'Anna Svídnická, císařovna, 1339–1362', 'Blanka z Valois, královna, 1316–1348', 'Anna Falcká, královna, 1329–1353', 'Eliška Pomořanská (též Alžběta), 1346-1393']",,36.0,1.0,15.0,16.0,2.0,2.0,,,
9788090902367,2024-04-05 10:55:44,Cristiano Ronaldo nejlepší střelec,60.0,1.0,[],,1.0,1.0,1.0,,,1.0,,,
9788024288017,2024-04-05 10:55:45,"Dědečku, vyprávěj: Etiketa pro kluky a holčičky od tří let",84.0,144.0,"['etiketa', 'společenské chování']",1.0,195.0,13.0,39.0,20.0,14.0,6.0,5.0,,
9788024292083,2024-04-05 10:55:47,Zločin a vášně za rady Vacátka: Nové příběhy z pražské Čtyřky,87.0,22.0,"['kriminalistika', 'první republika, 1918-1938', 'skutečné kriminální případy']",,23.0,2.0,11.0,12.0,11.0,1.0,2.0,,
9788024287140,2024-04-05 10:55:50,Šternberkové,74.0,13.0,"['aristokracie, šlechta', 'šlechtické rody', 'Šternberkové', 'česká šlechta']",,15.0,1.0,21.0,12.0,10.0,1.0,1.0,,
9788072616008,2024-04-05 10:55:55,Umění neúspěchu,84.0,5.0,[],,6.0,1.0,2.0,9.0,1.0,,1.0,,
9788076017672,2024-04-05 10:56:02,Srdce napůl,90.0,2.0,"['lékařské prostředí', 'rozhovory', 'lékařství', 'zdravotnictví', 'zdraví', 'srdce', 'nemoci srdce', 'nemoci dětí, dětské nemoci']",,4.0,,26.0,4.0,1.0,,,,
9788027139019,2024-04-05 10:56:03,Ekonomické jednohubky,88.0,5.0,[],3.0,6.0,1.0,3.0,11.0,5.0,,,,
9788076841598,2024-04-05 10:56:12,Pavučina minulosti,55.0,8.0,[],,10.0,1.0,2.0,5.0,5.0,,1.0,,
9788028002602,2024-04-05 10:56:17,Cesta z Ruska: Ruská agrese proti Ukrajině a její důsledky,100.0,4.0,"['Rusko', 'Ukrajina', 'válka na východní Ukrajině (2014-2019)', 'válka na Ukrajině (2022 - )']",,4.0,,,3.0,1.0,,,,
9788027130474,2024-04-05 10:56:23,Pozorně poslouchej a hraj si,100.0,1.0,[],1.0,,,,,1.0,,,,
9788026445807,2024-04-05 10:56:27,Skutečné zločiny na Ostravsku,88.0,81.0,"['skutečné kriminální případy', 'Ostravsko']",3.0,100.0,13.0,93.0,63.0,30.0,1.0,1.0,,
9788026445814,2024-04-05 10:56:31,Skutečné zločiny po Česku,73.0,57.0,['skutečné kriminální případy'],3.0,61.0,10.0,69.0,67.0,38.0,2.0,2.0,,
9788020460424,2024-04-05 10:56:32,Očkování v otázkách a odpovědích,93.0,3.0,"['očkování', 'koronavirus, covid-19', 'očkování dětí']",,2.0,,,2.0,,,,,
9788026446095,2024-04-05 10:56:40,Alois Rašín: Dramatický život českého politika,83.0,7.0,"['politici', 'Alois Rašín']",,12.0,,4.0,5.0,4.0,,1.0,,
9788076832954,2024-04-05 10:56:42,Martin Michek: O život,72.0,5.0,"['Rallye Dakar', 'motocyklový sport']",,6.0,,2.0,,,1.0,,,
9788076017535,2024-04-05 10:56:47,Idea nevědomí: Filosofické kořeny psychologie C. G. Junga,84.0,5.0,"['Carl Gustav Jung, 1875-1961']",,6.0,,1.0,12.0,4.0,,,,
9788026446279,2024-04-05 10:56:49,Vzpomínky konstruktéra lokomotivy Škoda,70.0,2.0,"['lokomotivy', 'konstruktéři', 'Škoda (podnik)']",,3.0,,,,,,,,
9788074074165,2024-04-05 10:56:50,Lvice na švédském trůně,97.0,7.0,"['Skandinávie', 'královny', 'Švédsko', 'panovnice']",,9.0,1.0,34.0,27.0,7.0,2.0,,,
